"Reference code","Product name","Product Combinations ID","Pre-tax retail price","Quantity","Product ID"
"3014","Bear Pendant","","480","2","1200"
"SKU: 00-07-419","Bill Helin Feather Pendant","","70","2","1496"
"SKU: 00-07-411","Bill Helin Hummingbird Pendant","","70","2","2242"
"SKU: 00-07-669","Kelly Robinson Silk Inspiration Triangle Earrings","","38","2","405"
"W13023-UAC1801NC09A","Pablo Pillow ""Water and Spirit Buffalo""","","49","2","837"
"3174","Horse Pendant/Brooch","","210","2","1293"
"SKU: 00-07-413","Bill Helin Salmon Pendant","","70","2","2243"
"SKU: 00-07-656","Kelly Robinson Silk Inspiration Round Pendant","","38","2","410"
"A08011-UAC0301NC0HA","Pablo Pillow ""Whisper""","","49","2","871"
"3384","Turtle Earrings","","80","2","1376"
"3343","Bear Paw Pendant","","50","2","1526"
"SKU: 00-07-528","Corrine Hunt Eagle Earrings","","70","2","424"
"3332","Loop Bail for Pendant","","40","2","1530"
"SKU: 00-07-530","Corrine Hunt Eagle Earrings","","75","2","427"
"SKU: 00-07-417","Bill Helin Raven Whale Pendant","","70","2","1159"
"3333","Loop Bail for Pendant","","25","2","1531"
"SKU: 00-07-505","Corrine Hunt Eagle Pendant","","75","2","443"
"SKU: 00-07-415","Bill Helin Eagle Pendant","","70","2","1161"
"3357","Bear Earrings","","230","2","1562"
"3521","Kokopelli Earrings","","95","2","3085"
"SKU: 90-90-251","CMH Sea Monster Box","","58.5","2","456"
"SKU: 00-07-424","Bill Helin Hummingbird Earrings","","75","2","1163"
"3358","Bear Earrings","","240","2","1563"
"3535","Bear Paws/Feather Earrings","","60","2","3102"
"SKU: 00-07-667","Corrine Hunt Silk Inspiration Trapezoid Earrings","","38","2","383"
"SKU: 90-90-208","Haida Gwaii Octopus Platter","","355","2","462"
"A17063-WAC0201NC02A","Vivienne Scarf ""Depth""","","49","2","845"
"3444","Half Moon Earrings","","95","2","1621"
"SKU: 00-07-652","Corrine Hunt Silk Inspiration Round Pendant","","38","2","393"
"SKU: 90-90-203","Haida Gwaii Sea Wolf Platter","","360","2","463"
"A07020-MTT0501NC0AA","Jasper Tie ""Journey to the Spirit World""","","79","2","892"
"3455","Bear Paw/Feather Earrings","","60","2","1628"
"SKU: 53-53-007","Bill Helin Raven Oven Mitt","","16","2","171"
"SKU: 52-52-413","Connie Dickens Raven Zip Tote Bag","","44","2","356"
"SKU: 00-02-826","Potlatch Bear Dish","","97","2","477"
"A17064-6","Small Print - M'Otter Love","","25","2","787"
"SKU: 00-01-026","Bookend Bear Frog","","65","2","1165"
"SKU: 52-52-412","Connie Dickens Raven Town Bag","","48.5","2","357"
"SKU: 00-02-823","Potlatch Loon Bowl","","97","2","481"
"A08013-UAC1801NC0FB","Pablo Pillow ""New Day""","","49","2","950"
"3459","Bear Paw Earrings","","35","2","1632"
"SKU: 52-52-410","Connie Dickens Raven Zip Pouch","","17","2","359"
"W12001-WAC0201NC07B","Vivienne Scarf ""Dialogue""","","49","2","850"
"3473","Oval Earrings","","90","2","1644"
