"Product ID","Product Combinations ID","Quantity","Pre-tax retail price"
"14","","42","5.50"
"17","","15","5.50"
"20","","15","5.50"
"23","","20","5.50"
"30","","13","5.50"
"34","","29","5.50"
"35","","11","5.50"
"40","","19","5.50"
"44","","36","5.50"
"47","","12","5.50"
"51","","18","5.50"
"54","","12","5.50"
"58","","55","5.50"
"61","","5","5.50"
"64","","17","5.50"
"67","","10","5.50"
"70","","20","5.50"
"73","","24","5.50"
"76","","19","5.50"
"79","","22","5.50"
"82","","27","5.50"
"85","","16","5.50"
"88","","21","5.50"
"92","","21","5.50"
"95","","21","5.50"
"98","","25","5.50"
"101","","25","5.50"
"104","","17","5.50"
"107","","23","5.50"
"113","","6","5.50"
"119","","5","11.00"
"131","","3","11.00"
"171","","2","16.00"
"175","1063;1064","1;2","48.00"
"183","","2","12.50"
"200","","5","11.00"
"240","","3","46.00"
"248","","4","65.00"
"249","","2","53.00"
"251","","21","5.50"
"257","","18","5.50"
"262","","19","5.50"
"268","","16","5.50"
"278","","23","5.50"
"285","","16","5.50"
"290","","16","5.50"
"294","","22","5.50"
"299","","26","5.50"
"304","","17","5.50"
"309","","29","5.50"
"313","","12","5.50"
"315","","18","5.50"
"318","","14","5.50"
"321","","24","5.50"
"324","","23","5.50"
"331","","19","5.50"
"332","","19","5.50"
"335","","19","5.50"
"338","","8","5.50"
"341","","25","5.50"
"344","","32","5.50"
"347","","11","5.50"
"350","","19","5.50"
"356","","2","44.00"
"357","","2","48.50"
"359","","2","17.00"
"360","","2","13.00"
"367","","4","35.00"
"368","","5","35.00"
"372","","2","17.00"
"373","1038;1039;1040","2;0;0","46.00"
"375","1033;1034","1;1","55.00"
"376","1031;1032","1;1","55.00"
"383","","2","38.00"
"393","","2","38.00"
"394","","3","38.00"
"397","1023;1024","0;2","55.00"
"398","1021;1022","1;1","55.00"
"401","","2","38.00"
"402","","3","38.00"
"404","","2","38.00"
"405","","2","38.00"
"410","","2","38.00"
"424","","2","70.00"
"427","","2","75.00"
"443","","2","75.00"
"456","","2","58.50"
"462","","2","355.00"
"463","","2","360.00"
"477","","2","97.00"
"481","","2","97.00"
"485","1087;1088;1089","0;4;1","65.00"
"489","4027;4028;4029;4030","0;0;1;1","92.00"
"501","106;107;108;109;110;111;112;113;114;115;116;117","2;0;0;0;0;0;0;1;0;1;1;0","28.75"
"502","102;103;104;105;2069;3952","3;1;2;5;2;2","23.00"
"509","4097;4098;4099;4100;4102;4121;7834","0;1;1;1;1;1;0","62.00"
"525","4078;4079;4081;4082;4084;4090","0;0;1;1;0;0","46.00"
"565","786;787;788;789;790;791;792;793;794","0;0;2;0;0;0;0;0;0","94.00"
"583","949;954;7162;7163;7164;7165;7166;7167;7168","0;2;0;0;0;0;0;0;0","110.00"
"607","","10","25.00"
"608","","10","25.00"
"609","","8","25.00"
"610","","16","25.00"
"611","","17","25.00"
"612","","14","25.00"
"614","","7","25.00"
"615","","10","25.00"
"616","","11","25.00"
"617","","14","25.00"
"618","","17","25.00"
"619","","17","25.00"
"620","","14","25.00"
"621","","11","25.00"
"622","","16","25.00"
"623","","16","25.00"
"624","","11","25.00"
"625","","13","25.00"
"626","","14","25.00"
"627","","13","25.00"
"628","","13","25.00"
"629","","6","25.00"
"630","","16","25.00"
"631","","17","25.00"
"632","","15","25.00"
"633","","17","25.00"
"634","","19","25.00"
"635","","16","25.00"
"636","","16","25.00"
"638","","9","25.00"
"640","","18","25.00"
"641","","14","25.00"
"642","","12","25.00"
"643","","14","25.00"
"644","","15","25.00"
"645","","15","25.00"
"646","","14","25.00"
"647","","13","25.00"
"648","","14","25.00"
"649","","9","25.00"
"650","","16","25.00"
"651","","18","25.00"
"652","","17","25.00"
"653","","17","25.00"
"654","","9","25.00"
"655","","18","25.00"
"656","","16","25.00"
"658","","14","25.00"
"659","","15","25.00"
"660","","12","25.00"
"661","","14","25.00"
"663","","11","25.00"
"664","","19","25.00"
"666","1597;1598;1599;1600","2;0;0;0","0.00"
"667","1601;1602;1603;1604","3;0;0;0","0.00"
"669","1609;1610;1611;1612","2;0;0;0","0.00"
"674","1905;1906;1907;1908","3;0;0;0","0.00"
"675","1801;1802;1803;1804","2;0;0;0","0.00"
"680","1889;1890;1891;1892","2;0;0;0","0.00"
"682","1805;1806;1807;1808","2;0;0;0","0.00"
"683","1909;1910;1911;1912","2;0;0;0","0.00"
"684","1809;1810;1811;1812","2;0;0;0","0.00"
"685","1813;1814;1815;1816","2;0;0;0","0.00"
"687","1625;1626;1627;1628","2;0;0;0","0.00"
"691","1873;1874;1875;1876","2;0;0;0","0.00"
"692","1737;1738;1739;1740","2;0;0;0","0.00"
"696","1741;1742;1743;1744","2;0;0;0","0.00"
"699","1641;1642;1643;1644","2;0;0;0","0.00"
"700","1817;1818;1819;1820","2;0;0;0","0.00"
"701","1645;1646;1647;1648","2;0;0;0","0.00"
"702","1649;1650;1651;1652","2;0;0;0","0.00"
"703","1917;1918;1919;1920","2;0;0;0","0.00"
"704","1745;1746;1747;1748","2;0;0;0","0.00"
"705","1877;1878;1879;1880","2;0;0;0","0.00"
"708","1921;1922;1923;1924","2;0;0;0","0.00"
"709","1881;1882;1883;1884","3;0;0;0","0.00"
"711","1893;1894;1895;1896","2;0;0;0","0.00"
"712","1529;1530;1531;1532","2;0;0;0","0.00"
"714","1753;1754;1755;1756","4;0;0;0","0.00"
"716","1757;1758;1759;1760","2;0;0;0","0.00"
"718","1765;1766;1767;1768","2;0;0;0","0.00"
"721","1897;1898;1899;1900","2;0;0;0","0.00"
"722","1769;1770;1771;1772","2;0;0;0","0.00"
"744","1857;1858;1859;1860","1;0;1;0","0.00"
"781","","17","5.50"
"782","","7","5.50"
"783","","21","5.50"
"784","","6","5.50"
"786","","15","25.00"
"787","","2","25.00"
"788","","16","25.00"
"789","1901;1902;1903;1904","3;0;0;0","0.00"
"790","1925;1926;1927;1928","2;0;0;0","0.00"
"791","1513;1514;1515;1516","3;0;0;0","0.00"
"797","","18","5.50"
"798","","23","5.50"
"799","","13","5.50"
"800","","7","25.00"
"801","1316;1317;1318;1319","0;0;0;2","0.00"
"805","1325;1326;1327;1328;1329","2;0;0;0;1","169.00"
