"Product ID","Product Combinations ID","Product name","Pre-tax retail price","Quantity"
"14","","Card - Eagle Moon","5.50","42"
"17","","Card - Giving Thanks","5.50","15"
"20","","Card - Honoring the Giver of Life","5.50","15"
"23","","Card - Moon Wisdom","5.50","20"
"30","","Card - Teachings","5.50","13"
"34","","Card - Strength Within","5.50","29"
"35","","Card - Reaching Out","5.50","11"
"40","","Card - Trust","5.50","19"
"44","","Card - Whisper","5.50","36"
"47","","Card - A Moose and Goose","5.50","12"
"51","","Card - Sky Sisters","5.50","18"
"54","","Card - Merging Earth and Sky","5.50","12"
"58","","Card - Geese Spirit","5.50","55"
"61","","Card - New Day","5.50","5"
"64","","Card - Patience","5.50","17"
"67","","Card - Birth of Eagle Shadow","5.50","10"
"70","","Card - Unity","5.50","20"
"73","","Card - River Keeper","5.50","24"
"76","","Card - Rebirth","5.50","19"
"79","","Card - Nostalgia","5.50","22"
"82","","Card - Journey to the Spirit orld","5.50","27"
"85","","Card - Passage","5.50","16"
"88","","Card - Breath of Life","5.50","21"
"92","","Card - Synchronicity","5.50","21"
"95","","Card - Winter Wolves","5.50","21"
"98","","Card - Dialogue","5.50","25"
"101","","Card - Gate of Silk","5.50","25"
"104","","Card - Earth Keeper","5.50","17"
"107","","Card - Going Home","5.50","23"
"113","","Card - Early Evening Flowing Into Fall","5.50","6"
"119","","Bill Helin Killer Whale Halo Mug","11.00","5"
"131","","Bill Helin Chilkat Halo Mug","11.00","3"
"171","","Bill Helin Raven Oven Mitt","16.00","2"
"175","1063;1064","Bill Helin Raven Salad Servers","48.00","1;2"
"183","","Andrew Williams Hummingbird Trivet or Coasters","12.50","2"
"200","","Anthony Joseph Salmon Halo Mug","11.00","5"
"240","","Corrine Hunt Sea to Sky Cheese Knife","46.00","3"
"248","","Corrinr Hunt Sea to Sky Cheese Knife and Fork Set","65.00","4"
"249","","Corrine Hunt Collection Namwayut  Salad Servers","53.00","2"
"251","","Card - The Protector","5.50","21"
"257","","Card - Sky Girl","5.50","18"
"262","","Card - Passing Through","5.50","19"
"268","","Card - Tranquility","5.50","16"
"278","","Card - Lapinx","5.50","23"
