"Reference code","Product name","Product ID","Product Combinations ID","Quantity","Pre-tax retail price"
"A01030-7","Card - Eagle Moon","14","","42","5.50"
"A01028-7","Card - Giving Thanks","17","","15","5.50"
"A01031-7","Card - Honoring the Giver of Life","20","","15","5.50"
"A01032-7","Card - Moon Wisdom","23","","20","5.50"
"A01036-7","Card - Teachings","30","","12","5.50"
"A01035-7","Card - Strength Within","34","","29","5.50"
"A01034-7","Card - Reaching Out","35","","11","5.50"
"A01037-7","Card - Trust","40","","19","5.50"
"A08011-7","Card - Whisper","44","","36","5.50"
"A08007-7","Card - A Moose and Goose","47","","12","5.50"
"A10012-7","Card - Sky Sisters","51","","18","5.50"
"A10004-7","Card - Merging Earth and Sky","54","","12","5.50"
"A10046-7","Card - Geese Spirit","58","","55","5.50"
"A08013-7","Card - New Day","61","","5","5.50"
"A08045-7","Card - Patience","64","","17","5.50"
"A01029-7","Card - Birth of Eagle Shadow","67","","10","5.50"
"A08019-7","Card - Unity","70","","20","5.50"
"A09006-7","Card - River Keeper","73","","24","5.50"
"A04015-7","Card - Rebirth","76","","19","5.50"
"A04039-7","Card - Nostalgia","79","","22","5.50"
"A07020-7","Card - Journey to the Spirit orld","82","","27","5.50"
"W13025-7","Card - Passage","85","","16","5.50"
"W12024-7","Card - Breath of Life","88","","21","5.50"
"W12017-7","Card - Synchronicity","92","","21","5.50"
"W12008-7","Card - Winter Wolves","95","","21","5.50"
"W12001-7","Card - Dialogue","98","","25","5.50"
"W12014-7","Card - Gate of Silk","101","","25","5.50"
"W12005-7","Card - Earth Keeper","104","","17","5.50"
"W12016-7","Card - Going Home","107","","23","5.50"
"W12018-7","Card - Early Evening Flowing Into Fall","113","","6","5.50"
"SKU:53-53-617","Bill Helin Killer Whale Halo Mug","119","","5","11.00"
"SKU: 53-53-521","Bill Helin Chilkat Halo Mug","131","","3","11.00"
"SKU: 53-53-007","Bill Helin Raven Oven Mitt","171","","2","16.00"
"SKU: 53-53-045x2","Bill Helin Raven Salad Servers","175","1063;1064","1;2","48.00"
"SKU: 52-52-795x2","Andrew Williams Hummingbird Trivet or Coasters","183","","2","12.50"
