"Reference code","Product ID","Product name","Product Combinations ID","Associated categories Ids","Quantity","Pre-tax retail price","Combinations Impact on price (pre-tax)"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1325","56;260","1","189.00","0.00"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1326","56;260","1","189.00","0.00"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1327","56;260","0","189.00","0.00"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1328","56;260","2","189.00","0.00"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1329","56;260","1","189.00","0.00"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1435","2;56;281","1","79.00","0.00"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1436","2;56;281","1","79.00","0.00"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1437","2;56;281","1","79.00","0.00"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1438","2;56;281","1","79.00","0.00"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1439","2;56;281","1","79.00","0.00"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1430","2;56;281","1","79.00","0.00"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1431","2;56;281","2","79.00","0.00"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1432","2;56;281","1","79.00","0.00"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1433","2;56;281","2","79.00","0.00"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1434","2;56;281","2","79.00","0.00"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1425","2;56;281","2","79.00","0.00"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1426","2;56;281","1","79.00","0.00"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1427","2;56;281","1","79.00","0.00"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1428","2;56;281","1","79.00","0.00"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1429","2;56;281","1","79.00","0.00"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1405","2;56;282","2","89.00","0.00"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1406","2;56;282","1","89.00","0.00"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1407","2;56;282","2","89.00","0.00"
