"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Pre-tax retail price","Combinations (Attribute - value pair)"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1325","1","189.00","Size - XS"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1326","1","189.00","Size - S"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1327","0","189.00","Size - M"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1328","2","189.00","Size - L"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1329","1","189.00","Size - XL"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1435","1","79.00","Size - XS"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1436","1","79.00","Size - S"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1437","1","79.00","Size - M"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1438","1","79.00","Size - L"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1439","1","79.00","Size - XL"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1430","1","79.00","Size - XS"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1431","2","79.00","Size - S"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1432","1","79.00","Size - M"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1433","2","79.00","Size - L"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1434","2","79.00","Size - XL"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1425","2","79.00","Size - XS"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1426","1","79.00","Size - S"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1427","1","79.00","Size - M"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1428","1","79.00","Size - L"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1429","1","79.00","Size - XL"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1405","2","89.00","Size - XS"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1406","1","89.00","Size - S"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1407","2","89.00","Size - M"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1408","3","89.00","Size - L"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1409","1","89.00","Size - XL"
"A17063-WSS0901NC02A","821","K Smith T-Shirt ""Depth""","2313","1","89.00","Size - XS"
"A17063-WSS0901NC02A","821","K Smith T-Shirt ""Depth""","2314","1","89.00","Size - S"
"A17063-WSS0901NC02A","821","K Smith T-Shirt ""Depth""","2315","1","89.00","Size - M"
"A17063-WSS0901NC02A","821","K Smith T-Shirt ""Depth""","2316","1","89.00","Size - L"
"A17063-WSS0901NC02A","821","K Smith T-Shirt ""Depth""","2317","0","89.00","Size - XL"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1420","1","129.00","Size - XS"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1421","1","129.00","Size - S"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1422","1","129.00","Size - M"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1423","1","129.00","Size - L"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1424","1","129.00","Size - XL"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1415","1","129.00","Size - XS"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1416","1","129.00","Size - S"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1417","1","129.00","Size - M"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1418","1","129.00","Size - L"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1419","2","129.00","Size - XL"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1395","1","169.00","Size - XS"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1396","1","169.00","Size - S"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1397","2","169.00","Size - M"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1398","1","169.00","Size - L"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1399","1","169.00","Size - XL"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1390","1","169.00","Size - XS"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1391","2","169.00","Size - S"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1392","1","169.00","Size - M"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1393","1","169.00","Size - L"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1394","1","169.00","Size - XL"
