"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Pre-tax retail price"
"SKU: 52-52-412","357","Connie Dickens Raven Town Bag","","Connie Dickens Raven Town Bag","2","56.00"
"SKU: 52-52-410","359","Connie Dickens Raven Zip Pouch","","Connie Dickens Raven Zip Pouch","3","20.00"
"SKU: 52-52-415","360","Connie Dickens Raven Coin Purse","","Connie Dickens Raven Coin Purse","3","14.00"
"SKU: 52-52-853","370","Kelly Robinson Eagle Town Bag","","Kelly Robinson Eagle Town Bag","4","56.00"
"SKU: 52-52-860","371","Kelly Robinson Eagle Zip Pouch","","Kelly Robinson Eagle Zip Pouch","3","20.00"
"SKU: 52-52-850","372","Kelly Robinson Eagle Zip Pouch","","Kelly Robinson Eagle Zip Pouch","2","20.00"
"SKU: 00-07-662","378","Corrine Hunt Silk Inspiration Drop Earrings","","Corrine Hunt Silk Inspiration Drop Earrings","2","50.00"
"SKU: 00-07-674","380","Corrine Hunt Silk Inspiration Drop Earrings","","Corrine Hunt Silk Inspiration Drop Earrings","4","50.00"
"SKU: 00-07-660","381","Corrine Hunt Silk Inspiration Oval Earrings","","Corrine Hunt Silk Inspiration Oval Earrings","2","50.00"
"SKU: 00-07-672","382","Corrine Hunt Silk Inspiration Oval Earrings","","Corrine Hunt Silk Inspiration Oval Earrings","2","50.00"
"SKU: 00-07-663","384","Corrine Hunt Silk Inspiration Trapezoid Earrings","","Corrine Hunt Silk Inspiration Trapezoid Earrings","3","50.00"
"SKU: 00-07-661","387","Corrine Hunt Silk Inspiration Triangle Earrings","","Corrine Hunt Silk Inspiration Triangle Earrings","3","50.00"
"SKU: 00-07-673","388","Corrine Hunt Silk Inspiration Triangle Earrings","","Corrine Hunt Silk Inspiration Triangle Earrings","2","50.00"
"SKU: 00-07-654","392","Corrine Hunt Silk Inspiration Round Pendant","","Corrine Hunt Silk Inspiration Round Pendant","2","46.00"
"SKU: 00-07-652","393","Corrine Hunt Silk Inspiration Round Pendant","","Corrine Hunt Silk Inspiration Round Pendant","2","46.00"
"SKU: 00-07-658","394","Corrine Hunt Silk Inspiration Round Pendant","","Corrine Hunt Silk Inspiration Round Pendant","2","46.00"
"SKU: 00-07-670","399","Kelly Robinson Silk Inspiration Drop Earrings","","Kelly Robinson Silk Inspiration Drop Earrings","2","50.00"
"SKU: 00-07-678","400","Kelly Robinson Silk Inspiration Drop Earrings","","Kelly Robinson Silk Inspiration Drop Earrings","2","50.00"
"SKU: 00-07-668","401","Kelly Robinson Silk Inspiration Oval Earrings","","Kelly Robinson Silk Inspiration Oval Earrings","3","50.00"
"SKU: 00-07-676","402","Kelly Robinson Silk Inspiration Oval Earrings","","Kelly Robinson Silk Inspiration Oval Earrings","2","50.00"
"SKU: 00-07-671","404","Kelly Robinson Silk Inspiration Trapezoid Earrings","","Kelly Robinson Silk Inspiration Trapezoid Earrings","2","50.00"
"SKU: 00-07-669","405","Kelly Robinson Silk Inspiration Triangle Earrings","","Kelly Robinson Silk Inspiration Triangle Earrings","3","50.00"
"SKU: 00-07-655","407","Kelly Robinson Silk Inspiration Oval Pendant","","Kelly Robinson Silk Inspiration Oval Pendant","2","46.00"
"SKU: 00-07-656","410","Kelly Robinson Silk Inspiration Round Pendant","","Kelly Robinson Silk Inspiration Round Pendant","2","46.00"
"SKU: 00-07-562x2","418","Andrew Williams Octopus Bracelet","7525","Size - 6.5""","1","104.00"
"SKU: 00-07-562x2","418","Andrew Williams Octopus Bracelet","7526","Size - 8""","2","104.00"
"SKU: 00-07-504","428","Corrine Hunt Wolf Pendant","","Corrine Hunt Wolf Pendant","2","82.00"
"SKU: 00-07-529","429","Corrine Hunt Wolf Earrings","","Corrine Hunt Wolf Earrings","2","75.00"
"SKU: 00-07-521","430","Corrine Hunt Killer Whale Earrings","","Corrine Hunt Killer Whale Earrings","2","85.00"
"SKU: 00-07-571x2","448","Kelly Robinson Hummingbird Bracelet","7523","Size - 6.5""","1","104.00"
"SKU: 00-07-571x2","448","Kelly Robinson Hummingbird Bracelet","7524","Size - 8""","1","104.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","106","Colors - Black","0","34.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","107","Colors - Red","0","34.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","110","Colors - Turquoise","0","34.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","112","Colors - Black Deer","2","34.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","113","Colors - Red Deer","1","34.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","114","Colors - Light Brown Deer","0","34.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","115","Colors - Turquoise Deer","0","34.00"
"SKU: 54-54-206x12","501","Bear Box Coin Purse","9223","Colors - Beige","0","34.00"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","102","Colors - Black","0","34.00"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","103","Colors - Red","0","34.00"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","104","Colors - Turquoise","0","34.00"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","105","Colors - Light Brown","4","34.00"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","2069","Colors - Walnut","3","34.00"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","3952","Colors - Yellow","0","34.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","4097","Colors - Black","0","72.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","4098","Colors - Red","1","72.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","4099","Colors - Walnut","1","72.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","4100","Colors - Turquoise","1","72.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","4102","Colors - Teal ","1","72.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","4121","Colors - Bronze","0","72.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","7834","Colors - Cream","0","72.00"
"SKU: 54-54-208","509","Passport Pouch Bear Box","9129","Colors - Yellow","0","72.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8523","Colors - Black","1","120.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8524","Colors - Red","0","120.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8525","Colors - Saddle","0","120.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8526","Colors - Turquoise","0","120.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8527","Colors - Black Deer","0","120.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8528","Colors - Red Deer","0","120.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8529","Colors - Beige Deer","1","120.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8530","Colors - Tan Deer","0","120.00"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","8531","Colors - Turquoise Deer","1","120.00"
"SKU: 54-54-232","525","Wristlet Bear Box","4078","Colors - Black","2","56.00"
"SKU: 54-54-232","525","Wristlet Bear Box","4079","Colors - Red","0","56.00"
"SKU: 54-54-232","525","Wristlet Bear Box","4081","Colors - Turquoise","0","56.00"
"SKU: 54-54-232","525","Wristlet Bear Box","4082","Colors - Tan","0","56.00"
"SKU: 54-54-232","525","Wristlet Bear Box","4090","Colors - Cherry","0","56.00"
"SKU: 54-54-232","525","Wristlet Bear Box","8532","Colors - Saddle","0","56.00"
"SKU: 54-54-134x7","531","Bill Helin Eagle Coin Purse","62","Colors - Black","3","34.00"
"SKU: 54-54-134x7","531","Bill Helin Eagle Coin Purse","63","Colors - Red","1","34.00"
"SKU: 54-54-134x7","531","Bill Helin Eagle Coin Purse","64","Colors - Turquoise","1","34.00"
"SKU: 54-54-134x7","531","Bill Helin Eagle Coin Purse","65","Colors - Light Brown","0","34.00"
"SKU: 54-54-134x7","531","Bill Helin Eagle Coin Purse","67","Colors - Light Brown Deer","0","34.00"
"SKU: 54-54-134x7","531","Bill Helin Eagle Coin Purse","68","Colors - Red Deer","0","34.00"
"A08011-UAC0301NC0HA","876","Reuben Tote Bag ""Whisper""","","Reuben Tote Bag ""Whisper""","5","49.00"
"A16059-UAC0301NC0IA","877","Reuben Tote Bag ""Wisdom Seekers""","","Reuben Tote Bag ""Wisdom Seekers""","4","49.00"
"A07020-MTT0501NC0AA","892","Jasper Tie ""Journey to the Spirit World""","","Jasper Tie ""Journey to the Spirit World""","2","79.00"
"A10004-UAC0301NC01A","958","Reuben Tote Bag ""Merging Earth and Sky""","","Reuben Tote Bag ""Merging Earth and Sky""","5","49.00"
"W18053-UAC0301NCOJB","1002","Reuben Tote Bag ""Northern Masters""","","Reuben Tote Bag ""Northern Masters""","3","49.00"
"A13041-UAC0301NCOEB","1004","Reuben Tote Bag ""Lapinx""","","Reuben Tote Bag ""Lapinx""","4","49.00"
"SKU: 54-54-350","1142","Wristlet, Raven","4058","Colors - Red","0","56.00"
"SKU: 54-54-350","1142","Wristlet, Raven","4059","Colors - Cherry","0","56.00"
"SKU: 54-54-350","1142","Wristlet, Raven","4060","Colors - Turquoise","1","56.00"
"SKU: 54-54-350","1142","Wristlet, Raven","4061","Colors - Walnut","2","56.00"
"SKU: 54-54-350","1142","Wristlet, Raven","4067","Colors - Black","1","56.00"
"SKU: 54-54-350","1142","Wristlet, Raven","4068","Colors - Tan","0","56.00"
"SKU: 00-07-414","1158","Bill Helin Hummingbird Pendant","","Bill Helin Hummingbird Pendant","2","82.00"
"SKU: 00-07-426","1162","Bill Helin Eagle Feather Earrings","","Bill Helin Eagle Feather Earrings","3","85.00"
"SKU: 00-07-424","1163","Bill Helin Hummingbird Earrings","","Bill Helin Hummingbird Earrings","2","85.00"
"3059","1198","Bear Pendant","","Bear Pendant","2","440.00"
"3014","1200","Bear Pendant","","Bear Pendant","2","480.00"
"3044","1209","Feather Pendant","","Feather Pendant","2","295.00"
"3041","1211","Feather Pendant","","Feather Pendant","2","460.00"
"3206","1313","Kokopelli Pendant","","Kokopelli Pendant","3","40.00"
"SKU: 00-07-419","1496","Bill Helin Feather Pendant","","Bill Helin Feather Pendant","3","82.00"
"3343","1526","Bear Paw Pendant","","Bear Paw Pendant","2","50.00"
"3332","1530","Loop Bail for Pendant","","Loop Bail for Pendant","2","40.00"
"3333","1531","Loop Bail for Pendant","","Loop Bail for Pendant","2","25.00"
"3357","1562","Bear Earrings","","Bear Earrings","2","230.00"
"3473","1644","Oval Earrings","","Oval Earrings","2","90.00"
"3475","1646","Stud Earrings","","Stud Earrings","7","28.00"
"3543","1775","Stud Earrings","","Stud Earrings","3","30.00"
"3545","1777","Stud Earrings","","Stud Earrings","2","30.00"
"SKU: 00-07-410","2241","Bill Helin Hummingbird Pendant","","Bill Helin Hummingbird Pendant","2","82.00"
"SKU: 00-07-421","2988","Bill Helin Lovebird Earrings","","Bill Helin Lovebird Earrings","2","85.00"
"SKU:00-07-564x2","4241","Andrew Williams Double Eagle Bracelet","7832","Size - 6.5""","2","104.00"
"SKU:00-07-564x2","4241","Andrew Williams Double Eagle Bracelet","7833","Size - 8""","1","104.00"
"SKU:54-54-304","4303","Passport Pouch Raven","7835","Colors - Turquoise","0","72.00"
"SKU:54-54-304","4303","Passport Pouch Raven","7836","Colors - Black","1","72.00"
"SKU:54-54-304","4303","Passport Pouch Raven","7837","Colors - Red","2","72.00"
"SKU:54-54-304","4303","Passport Pouch Raven","7838","Colors - Tan","0","72.00"
"A18066-UAC0301NCOUA","4549","Reuben Tote Bag ""Under the Same Sky""","","Reuben Tote Bag ""Under the Same Sky""","7","49.00"
"A17063-UAC0301NC02A","7505","Reuben Tote Bag ""Depth""","","Reuben Tote Bag ""Depth""","6","49.00"
"A16051-UAC0301NC5A","8245","Reuben Tote Bag ""Northern Keepers""","","Reuben Tote Bag ""Northern Keepers""","2","49.00"
"A16058-UAC0301NC04B","9116","Reuben Tote Bag ""Silent Seekers""","","Reuben Tote Bag ""Silent Seekers""","3","49.00"
"3822","9494","Bear Bracelet","","Bear Bracelet","2","295.00"
"3823","9495","Bear Bracelet","","Bear Bracelet","2","325.00"
"3826","9497","Floral Bracelet","","Floral Bracelet","3","230.00"
"3850","9509","Bear Paw Bracelet","","Bear Paw Bracelet","2","175.00"
"3922","9685","Bear Paw Bracelet","","Bear Paw Bracelet","5","175.00"
"3923","9686","Bear Paw Bracelet","","Bear Paw Bracelet","2","175.00"
"W13023-UAC0301NC16A","12105","Reuben Tote Bag ""Water and Spirit Buffalo""","","Reuben Tote Bag ""Water and Spirit Buffalo""","2","49.00"
"A16058-UAC0301NC04A","12163","Reuben Tote Bag ""Silent Seekers""","","Reuben Tote Bag ""Silent Seekers""","7","49.00"
"SKU: 00-07-512","13950","Corrine Hunt Hummingbird Pendant","","Corrine Hunt Hummingbird Pendant","2","82.00"
"SKU: 00-07-532","13953","Corrine Hunt Hummingbird Earrings","","Corrine Hunt Hummingbird Earrings","4","85.00"
