"Reference code","Product ID","Product name","Quantity","Pre-tax retail price","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Combinations Impact on price (pre-tax)","Combinations (Attribute - value pair)","Combinations Impact on weight","Show price","Pre-tax wholesale price","Unit price (per)","Unit price (tax excl.)","Specific Price ID_1","Specific price Starting at (unit)_1","Specific price Group ID_1"
"A01030-7","14","Card - Eagle Moon","39","5.50","","","","5"" x 7""","","0.00","Card - Eagle Moon","0.00","1","2.40","","0.00","","",""
"A01028-POD2555","17","Card - Giving Thanks","11","6.35","","","","6"" x 9""","","0.00","Card - Giving Thanks","0.00","1","2.40","","0.00","","",""
"A01031-7","20","Card - Honoring the Giver of Life","58","5.50","","","","5"" x 7""","","0.00","Card - Honoring the Giver of Life","0.00","1","2.40","","0.00","","",""
"A01032-7","23","Card - Moon Wisdom","78","5.50","","","","5"" x 7""","","0.00","Card - Moon Wisdom","0.00","1","2.40","","0.00","","",""
"A01036-7","30","Card - Teachings","42","5.50","","","","5"" x 7""","","0.00","Card - Teachings","0.00","1","2.40","","0.00","","",""
"A01035-7","34","Card - Strength Within","59","5.50","","","","5"" x 7""","","0.00","Card - Strength Within","0.00","1","2.40","","0.00","","",""
"A01034-POD2570","35","Card - Reaching Out","3","6.35","","","","6"" x 9""","","0.00","Card - Reaching Out","0.00","1","2.40","","0.00","","",""
"A01037-7","40","Card - Trust","46","5.50","","","","5"" x 7""","","0.00","Card - Trust","0.00","1","2.40","","0.00","","",""
"A08011-7","44","Card - Whisper","113","5.50","","","","5"" x 7""","","0.00","Card - Whisper","0.00","1","2.40","","0.00","","",""
"A08007-POD2548","47","Card - A Moose and Goose","10","6.35","","","","6"" x 9""","","0.00","Card - A Moose and Goose","0.00","1","2.40","","0.00","","",""
"A10012-7","51","Card - Sky Sisters","16","5.50","","","","7"" x 5""","","0.00","Card - Sky Sisters","0.00","1","2.40","","0.00","","",""
"A10004-7","54","Card - Merging Earth and Sky","61","5.50","","","","7"" x 5""","","0.00","Card - Merging Earth and Sky","0.00","1","2.40","","0.00","","",""
"A10046-7","58","Card - Geese Spirit","111","5.50","","","","7"" x 5""","","0.00","Card - Geese Spirit","0.00","1","2.40","","0.00","","",""
"A08045-20084","64","Card - Patience","6","6.35","","","","6"" x 9""","","0.00","Card - Patience","0.00","1","2.40","","0.00","","",""
