"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)"
"A01030-7","14","Card - Eagle Moon","","","","5"" x 7""","","39","5.50"
"A01028-POD2555","17","Card - Giving Thanks","","","","6"" x 9""","","11","6.35"
"A01031-7","20","Card - Honoring the Giver of Life","","","","5"" x 7""","","58","5.50"
"A01032-7","23","Card - Moon Wisdom","","","","5"" x 7""","","78","5.50"
"A01036-7","30","Card - Teachings","","","","5"" x 7""","","42","5.50"
"A01035-7","34","Card - Strength Within","","","","5"" x 7""","","59","5.50"
"A01034-POD2570","35","Card - Reaching Out","","","","6"" x 9""","","3","6.35"
"A01037-7","40","Card - Trust","","","","5"" x 7""","","46","5.50"
"A08011-7","44","Card - Whisper","","","","5"" x 7""","","113","5.50"
"A08007-POD2548","47","Card - A Moose and Goose","","","","6"" x 9""","","10","6.35"
"A10012-7","51","Card - Sky Sisters","","","","7"" x 5""","","16","5.50"
"A10004-7","54","Card - Merging Earth and Sky","","","","7"" x 5""","","61","5.50"
"A10046-7","58","Card - Geese Spirit","","","","7"" x 5""","","111","5.50"
"A08045-20084","64","Card - Patience","","","","6"" x 9""","","6","6.35"
"A01029-POD2882","67","Card - Birth of Eagle Shadow","","","","6"" x 9""","","13","6.35"
"A08019-POD2886","70","Card - Unity","","","","6"" x 9""","","10","6.35"
"A09006-7","73","Card - River Keeper","","","","5"" x 7""","","7","5.50"
"A04015-20085","76","Card - Rebirth","","","","6"" x 9""","","8","6.35"
"A04039-7","79","Card - Nostalgia","","","","5"" x 7""","","9","5.50"
"A07020-20080","82","Card - Journey to the Spirit World","","","","9"" x 6""","","11","6.35"
"W13025-POD2569","85","Card - Passage","","","","6"" x 9""","","9","6.35"
"W12024-20076","88","Card - Breath of Life","","","","9"" x 6""","","8","6.35"
"W12008-POD2581","95","Card - Winter Wolves","","","","9"" x 6""","","13","6.35"
"W12001-7","98","Card - Dialogue","","","","7"" x 5""","","5","5.50"
"W12014-7","101","Card - Gate of Silk","","","","7"" x 5""","","7","5.50"
"W12005-POD2552","104","Card - Earth Keeper","","","","6"" x 9""","","7","6.35"
"W12016-POD2556","107","Card - Going Home","","","","6"" x 9""","","4","6.35"
