"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)"
"GCDC35","3373","Dream Catcher ""Change""","","3","14.00"
"SF3","3378","Smudging Feather","","13","12.95"
"SF4","3381","Smudging Feather ""Friends""","","3","15.95"
"TS21","3382","Talking Stick - Mini","","2","18.95"
"63-63-bell","3956","Bear bell","","2","14.95"
"P-RENARD","4057","Plush made with Fox Fur","","6","43.00"
"P-LAPIN","4058","Plush made with Rabbit Fur","","4","37.00"
"P-CASTOR","4059","Plush made with Beaver Fur","","4","38.00"
"GRO_1","4062","Bear Fat","","2","30.00"
"ML05C","4073","Mittens in Natural Seal Skin","7672","1","235.00"
"ML05C","4073","Mittens in Natural Seal Skin","7673","1","235.00"
"ML05C","4073","Mittens in Natural Seal Skin","7674","1","235.00"
"ML05C","4073","Mittens in Natural Seal Skin","7675","1","235.00"
"ML05C","4073","Mittens in Natural Seal Skin","7676","0","235.00"
"ML05C","4073","Mittens in Natural Seal Skin","7677","0","235.00"
"ML01","4074","Long Mittens in Black Seal Fur","7678","0","310.00"
"ML01","4074","Long Mittens in Black Seal Fur","7679","0","310.00"
"ML01","4074","Long Mittens in Black Seal Fur","7680","0","310.00"
"ML01","4074","Long Mittens in Black Seal Fur","7681","1","310.00"
"ML01","4074","Long Mittens in Black Seal Fur","7682","1","310.00"
"ML01","4074","Long Mittens in Black Seal Fur","7683","0","310.00"
"MC005","7259","Long Leather Mittens with Natural Coyote","8166","1","410.00"
"MC005","7259","Long Leather Mittens with Natural Coyote","8167","0","410.00"
"MC005","7259","Long Leather Mittens with Natural Coyote","8168","0","410.00"
"MC005","7259","Long Leather Mittens with Natural Coyote","8169","1","410.00"
"Fab-16A","7264","16A Dream Catcher","","16","15.00"
"COLY-5","7270","Earmuffs with Lynx","","2","155.00"
"GFL-01M","7271","Gloves with Black Seal Skin","8174","0","285.00"
"GFL-01M","7271","Gloves with Black Seal Skin","8175","1","285.00"
"GFL-01M","7271","Gloves with Black Seal Skin","8176","1","285.00"
"GFL-01M","7271","Gloves with Black Seal Skin","8177","1","285.00"
"GFL-01M","7271","Gloves with Black Seal Skin","8178","1","285.00"
"CAP737","7287","CAP Art Cards","","225","6.35"
"CAP-MAG","7291","Art Magnet","","18","6.50"
"GFL-05C","7632","Gloves in Natural Seal Skin","8192","0","245.00"
"GFL-05C","7632","Gloves in Natural Seal Skin","8193","1","245.00"
"GFL-05C","7632","Gloves in Natural Seal Skin","8194","2","245.00"
"GFL-05C","7632","Gloves in Natural Seal Skin","8195","0","245.00"
"BOXCARDSET","7725","CAP Box Cards Set","","24","21.45"
"BOXCOLORINGCARDSET","7726","CAP Colouring Box Cards Set","","5","21.45"
"CLB-013X","7732","CAP Colouring Book","","29","8.95"
"Fab-15B","7834","15B Shield of Protection (Large)","","41","45.00"
"SPO_1","7902","Soap","","56","18.50"
"Fab-1","7903","1 Lucky Stones","","289","5.50"
"Coquelicot","7904","Pin - ""Poppy""","","27","26.00"
"Totem-Animal","7905","Totem Stone Animal","","164","6.50"
"FAB-17B","7906","17B Painted Pebble  ""DC""","","48","6.50"
"CAL","7976","CAP Calendars 2024","","14","22.00"
"BKM","7977","Bookmarks","","43","2.30"
"MVAL-01","8283","Mittens in Black Seal Skin","8232","3","196.00"
"MVAL-01","8283","Mittens in Black Seal Skin","8233","0","196.00"
"MVAL-01","8283","Mittens in Black Seal Skin","8234","0","196.00"
"MVAL-01","8283","Mittens in Black Seal Skin","8235","0","196.00"
"Fab-2A","8329","2A Totem Monthly Animal","","149","5.50"
"MVAL-05","8522","Mittens in Natural Seal Skin","8236","1","210.00"
"MVAL-05","8522","Mittens in Natural Seal Skin","8237","1","210.00"
"MVAL-05","8522","Mittens in Natural Seal Skin","8238","1","210.00"
"MVAL-05","8522","Mittens in Natural Seal Skin","8239","0","210.00"
"MVAL-05","8522","Mittens in Natural Seal Skin","8240","0","210.00"
"Fab-16D","8660","16D Wolf Guardien","","6","38.00"
"CAP11x14","8694","CAP11x14","","7","20.00"
"GE-14 mini carte","8776","Gift Enclosures","","35","7.45"
"Shawlnavajo-6","8803","Shawl Navajo","9337","3","85.00"
"Shawlnavajo-6","8803","Shawl Navajo","9338","0","85.00"
"Shawlnavajo-6","8803","Shawl Navajo","9339","0","85.00"
"Shawlnavajo-6","8803","Shawl Navajo","9340","2","85.00"
"Shawlnavajo-6","8803","Shawl Navajo","9341","0","85.00"
"Shawlnavajo-6","8803","Shawl Navajo","9342","3","85.00"
"46050","9058","Wallet Bastien","","2","22.00"
"Fairy Stones","9537","Stones - Fairy","9130","41","9.25"
"Fairy Stones","9537","Stones - Fairy","9131","40","14.00"
"Fairy Stones","9537","Stones - Fairy","9132","46","18.00"
"Fairy Stones","9537","Stones - Fairy","9133","47","7.95"
"Fairy Stones","9537","Stones - Fairy","9287","50","24.00"
"Fairy Stones","9537","Stones - Fairy","9288","2","28.00"
"Fab-16E","9773","16E Eagle Guardien","","8","38.00"
"FAB-17A","9809","17A Shaman Painted River Pebble","","6","5.50"
"Fab - 19A","9913","19A Small Mobiles","9653","9","18.00"
"Fab - 19A","9913","19A Small Mobiles","9654","8","18.00"
"Fab - 19A","9913","19A Small Mobiles","9655","10","18.00"
"Fab - 19E","9945","19E Sectional Small Fish Mobile","","4","35.00"
"Fab-12B","10037","12B Bowl Medium","","4","28.00"
"Fab-5A","10041","5A Bracelet 1 Strand","9183","28","6.00"
"Fab-5A","10041","5A Bracelet 1 Strand","9184","23","8.00"
"Fab-5A","10041","5A Bracelet 1 Strand","9185","22","10.00"
"Fab-16C","10109","16C Turtle Guardien","","8","38.00"
"Fab-3","10120","3 Necklace on Cardboard","","26","8.50"
"DC1701X12","10248","Birthstone Earrings","8967","9","16.95"
"DC1701X12","10248","Birthstone Earrings","8968","11","16.95"
"DC1701X12","10248","Birthstone Earrings","8969","11","16.95"
"DC1701X12","10248","Birthstone Earrings","8970","11","16.95"
"DC1701X12","10248","Birthstone Earrings","8971","9","16.95"
"DC1701X12","10248","Birthstone Earrings","8972","10","16.95"
"DC1701X12","10248","Birthstone Earrings","8973","9","16.95"
"DC1701X12","10248","Birthstone Earrings","8974","9","16.95"
"DC1701X12","10248","Birthstone Earrings","8975","10","16.95"
"DC1701X12","10248","Birthstone Earrings","8976","3","16.95"
"DC1701X12","10248","Birthstone Earrings","8977","12","16.95"
"DC1701X12","10248","Birthstone Earrings","8978","9","16.95"
"","10282","Power Stones","9064","5","3.95"
"","10282","Power Stones","9065","5","3.95"
"","10282","Power Stones","9066","8","3.95"
"","10282","Power Stones","9067","5","3.95"
"","10282","Power Stones","9068","9","3.95"
"","10282","Power Stones","9069","3","3.95"
"","10282","Power Stones","9070","5","3.95"
