"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1325","Palazzo Carla ""En Quête de Silence"" : Taille - XP","1","189.00"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1326","Palazzo Carla ""En Quête de Silence"" : Taille - P","1","189.00"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1327","Palazzo Carla ""En Quête de Silence"" : Taille - M","1","189.00"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1328","Palazzo Carla ""En Quête de Silence"" : Taille - L","2","189.00"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1329","Palazzo Carla ""En Quête de Silence"" : Taille - XL","1","189.00"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1435","Débardeur Coco ""En Quête de Silence"" : Taille - XP","1","79.00"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1436","Débardeur Coco ""En Quête de Silence"" : Taille - P","1","79.00"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1437","Débardeur Coco ""En Quête de Silence"" : Taille - M","2","79.00"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1438","Débardeur Coco ""En Quête de Silence"" : Taille - L","1","79.00"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1439","Débardeur Coco ""En Quête de Silence"" : Taille - XL","1","79.00"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1430","Débardeur Coco ""Gardiens du Nord"" : Taille - XP","0","79.00"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1431","Débardeur Coco ""Gardiens du Nord"" : Taille - P","1","79.00"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1432","Débardeur Coco ""Gardiens du Nord"" : Taille - M","0","79.00"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1433","Débardeur Coco ""Gardiens du Nord"" : Taille - L","1","79.00"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1434","Débardeur Coco ""Gardiens du Nord"" : Taille - XL","0","79.00"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1425","Débardeur Coco ""Rendre Grâce"" : Taille - XP","2","79.00"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1426","Débardeur Coco ""Rendre Grâce"" : Taille - P","1","79.00"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1427","Débardeur Coco ""Rendre Grâce"" : Taille - M","1","79.00"
