"Reference code","Product ID","Product name","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"GCDC35","3373","Dream Catcher ""Change""","","3","14.00","0.00"
"GRO_1","4062","Bear Fat","","3","30.00","0.00"
"ML05C","4073","Mittens in Natural Seal Skin","7672","0","239.00","0.00"
"ML05C","4073","Mittens in Natural Seal Skin","7673","3","239.00","0.00"
"ML05C","4073","Mittens in Natural Seal Skin","7674","1","239.00","0.00"
"ML05C","4073","Mittens in Natural Seal Skin","7675","1","239.00","0.00"
"ML05C","4073","Mittens in Natural Seal Skin","7676","0","239.00","0.00"
"ML05C","4073","Mittens in Natural Seal Skin","7677","0","239.00","0.00"
"MVL-05","4075","Mittens in Natural Seal Skin","7684","0","170.00","0.00"
"MVL-05","4075","Mittens in Natural Seal Skin","7685","2","170.00","0.00"
"MVL-05","4075","Mittens in Natural Seal Skin","7686","2","170.00","0.00"
"MVL-05","4075","Mittens in Natural Seal Skin","7687","2","170.00","0.00"
"MVL-05","4075","Mittens in Natural Seal Skin","7688","0","170.00","0.00"
"MVL-05","4075","Mittens in Natural Seal Skin","7689","0","170.00","0.00"
"MC005","7259","Long Leather Mittens with Natural Coyote","10885","1","450.00","0.00"
"MC005","7259","Long Leather Mittens with Natural Coyote","10886","0","450.00","0.00"
"MC005","7259","Long Leather Mittens with Natural Coyote","10887","0","450.00","0.00"
"MC005","7259","Long Leather Mittens with Natural Coyote","10888","1","450.00","0.00"
"Fab-16A","7264","16A Dream Catcher","","11","15.00","0.00"
"GFL-01M","7271","Gloves with Black Seal Skin","8174","0","310.00","0.00"
"GFL-01M","7271","Gloves with Black Seal Skin","8175","1","310.00","0.00"
"GFL-01M","7271","Gloves with Black Seal Skin","8176","1","310.00","0.00"
"GFL-01M","7271","Gloves with Black Seal Skin","8177","1","310.00","0.00"
"GFL-01M","7271","Gloves with Black Seal Skin","8178","1","310.00","0.00"
"CAP737","7287","CAP Art Cards","","435","6.35","0.00"
"CAP-MAG","7291","Art Magnet","","132","6.50","2.75"
"GFL-05C","7632","Gloves in Natural Seal Skin","8192","1","250.00","0.00"
"GFL-05C","7632","Gloves in Natural Seal Skin","8193","1","250.00","0.00"
"GFL-05C","7632","Gloves in Natural Seal Skin","8194","2","250.00","0.00"
"GFL-05C","7632","Gloves in Natural Seal Skin","8195","0","250.00","0.00"
"BOXCARDSET","7725","CAP Box Cards Set","","21","21.45","9.25"
"BOXCOLORINGCARDSET","7726","CAP Colouring Box Cards Set","","4","21.45","0.00"
"Fab-15B","7834","15B Shield of Protection (Large)","","37","45.00","0.00"
"SPO_1","7902","Soap","","47","18.50","0.00"
"Fab-1","7903","1 Lucky Stones","","263","5.50","0.00"
"Coquelicot","7904","Pin - ""Poppy""","","28","26.00","0.00"
"Totem-Animal","7905","Totem Stone Animal","","438","6.50","0.00"
"FAB-17B","7906","17B Painted Pebble  ""DC""","","43","6.50","0.00"
"Fab-2A","8329","2A Totem Monthly Animal","","115","5.50","0.00"
"MVAL-05","8522","Mittens in Natural Seal Skin","8236","1","225.00","0.00"
"MVAL-05","8522","Mittens in Natural Seal Skin","8237","0","225.00","0.00"
"MVAL-05","8522","Mittens in Natural Seal Skin","8238","1","225.00","0.00"
"MVAL-05","8522","Mittens in Natural Seal Skin","8239","2","225.00","0.00"
"MVAL-05","8522","Mittens in Natural Seal Skin","8240","2","225.00","0.00"
"Fab-16D","8660","16D Wolf Guardien","","3","38.00","0.00"
"CAP11x14","8694","CAP11x14","","2","20.00","0.00"
"GE-14 mini carte","8776","Gift Enclosures","","19","7.45","0.00"
"Shawlnavajo-6","8803","Shawl Navajo","9337","6","85.00","0.00"
"Shawlnavajo-6","8803","Shawl Navajo","9338","4","85.00","0.00"
"Shawlnavajo-6","8803","Shawl Navajo","9339","4","85.00","0.00"
"Shawlnavajo-6","8803","Shawl Navajo","9340","5","85.00","0.00"
"Shawlnavajo-6","8803","Shawl Navajo","9341","0","85.00","0.00"
"Shawlnavajo-6","8803","Shawl Navajo","9342","0","85.00","0.00"
"Shawlnavajo-6","8803","Shawl Navajo","11344","3","85.00","0.00"
"46050","9058","Wallet Bastien","","2","22.00","0.00"
"Fairy Stones","9537","Stones - Fairy","9130","12","9.25","0.00"
"Fairy Stones","9537","Stones - Fairy","9131","12","14.00","0.00"
"Fairy Stones","9537","Stones - Fairy","9132","36","18.00","0.00"
"Fairy Stones","9537","Stones - Fairy","9133","47","7.95","0.00"
"Fairy Stones","9537","Stones - Fairy","9287","48","24.00","0.00"
"Fairy Stones","9537","Stones - Fairy","9288","1","28.00","0.00"
"Fab-16E","9773","16E Eagle Guardien","","6","38.00","0.00"
"FAB-17A","9809","17A Shaman Painted River Pebble","","20","5.50","0.00"
"Fab - 19A","9913","19A Small Mobiles","9653","6","18.00","0.00"
"Fab - 19A","9913","19A Small Mobiles","9654","3","18.00","0.00"
"Fab - 19A","9913","19A Small Mobiles","9655","5","18.00","0.00"
"Fab - 19E","9945","19E Sectional Small Fish Mobile","","2","35.00","0.00"
"Fab-12B","10037","12B Bowl Medium","","2","28.00","0.00"
"Fab-5A","10041","5A Bracelet 1 Strand","9183","23","6.00","0.00"
"Fab-5A","10041","5A Bracelet 1 Strand","9184","18","8.00","0.00"
"Fab-5A","10041","5A Bracelet 1 Strand","9185","15","10.00","0.00"
"Fab-16C","10109","16C Turtle Guardien","","6","38.00","0.00"
"Fab-3","10120","3 Necklace on Cardboard","","24","8.50","0.00"
"DC1701X12","10248","Birthstone Earrings","8967","3","16.95","0.00"
"DC1701X12","10248","Birthstone Earrings","8968","15","16.95","0.00"
"DC1701X12","10248","Birthstone Earrings","8969","17","16.95","0.00"
"DC1701X12","10248","Birthstone Earrings","8970","16","16.95","0.00"
"DC1701X12","10248","Birthstone Earrings","8971","15","16.95","0.00"
"DC1701X12","10248","Birthstone Earrings","8972","8","16.95","0.00"
"DC1701X12","10248","Birthstone Earrings","8973","19","16.95","0.00"
"DC1701X12","10248","Birthstone Earrings","8974","18","16.95","0.00"
"DC1701X12","10248","Birthstone Earrings","8975","22","16.95","0.00"
"DC1701X12","10248","Birthstone Earrings","8976","11","16.95","0.00"
"DC1701X12","10248","Birthstone Earrings","8977","18","16.95","0.00"
"DC1701X12","10248","Birthstone Earrings","8978","3","16.95","0.00"
"","10282","Power Stones","9064","2","3.95","0.00"
"","10282","Power Stones","9065","4","3.95","0.00"
"","10282","Power Stones","9066","1","3.95","0.00"
"","10282","Power Stones","9067","3","3.95","0.00"
"","10282","Power Stones","9068","9","3.95","0.00"
"","10282","Power Stones","9069","0","3.95","0.00"
"","10282","Power Stones","9070","0","3.95","0.00"
"","10282","Power Stones","9071","1","3.95","0.00"
"","10282","Power Stones","9072","0","3.95","0.00"
"","10282","Power Stones","9073","0","3.95","0.00"
"","10282","Power Stones","9074","4","3.95","0.00"
"","10282","Power Stones","9075","5","3.95","0.00"
"DC1701-PX12","10285","Birthstone Pendant","9076","10","10.95","0.00"
"DC1701-PX12","10285","Birthstone Pendant","9077","16","10.95","0.00"
"DC1701-PX12","10285","Birthstone Pendant","9078","16","10.95","0.00"
"DC1701-PX12","10285","Birthstone Pendant","9079","17","10.95","0.00"
"DC1701-PX12","10285","Birthstone Pendant","9080","16","10.95","0.00"
"DC1701-PX12","10285","Birthstone Pendant","9081","15","10.95","0.00"
"DC1701-PX12","10285","Birthstone Pendant","9082","18","10.95","0.00"
"DC1701-PX12","10285","Birthstone Pendant","9083","19","10.95","0.00"
"DC1701-PX12","10285","Birthstone Pendant","9084","18","10.95","0.00"
"DC1701-PX12","10285","Birthstone Pendant","9085","12","10.95","0.00"
"DC1701-PX12","10285","Birthstone Pendant","9086","18","10.95","0.00"
"DC1701-PX12","10285","Birthstone Pendant","9087","8","10.95","0.00"
"MM13","10297","Key Chain","9088","1","8.95","0.00"
"MM13","10297","Key Chain","9089","2","8.95","0.00"
"MM13","10297","Key Chain","9090","2","8.95","0.00"
"MM13","10297","Key Chain","9091","7","8.95","0.00"
"MM13","10297","Key Chain","9092","1","8.95","0.00"
"MM13","10297","Key Chain","9093","6","8.95","0.00"
"Fab-12A","10303","12A Bowl Mini","","2","15.00","0.00"
"Fab-15A","10308","15A Shield of Protection (Small)","","10","35.00","0.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9105","0","8.95","0.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9107","0","8.95","0.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9108","8","8.95","0.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9109","0","8.95","0.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9110","0","8.95","0.00"
"DC420/1.5""X6","10359","DC420/1.5""X6","9216","8","8.95","0.00"
"DC422/2.5""X3","10361","DC422/2.5""","9114","0","13.95","0.00"
"DC422/2.5""X3","10361","DC422/2.5""","9115","0","13.95","0.00"
"DC422/2.5""X3","10361","DC422/2.5""","9116","0","13.95","0.00"
"DC422/2.5""X3","10361","DC422/2.5""","9215","5","13.95","0.00"
"DC422/2.5""X3","10361","DC422/2.5""","9217","2","13.95","0.00"
"DC140","10362","DC140","9210","0","9.95","0.00"
"DC140","10362","DC140","9211","1","9.95","0.00"
"DC140","10362","DC140","9213","2","9.95","0.00"
"AFx12","10430","Answer Feathers","9275","2","3.95","0.00"
"AFx12","10430","Answer Feathers","9276","1","3.95","0.00"
"AFx12","10430","Answer Feathers","9277","0","3.95","0.00"
"AFx12","10430","Answer Feathers","9278","3","3.95","0.00"
"AFx12","10430","Answer Feathers","9279","7","3.95","0.00"
"AFx12","10430","Answer Feathers","9280","0","3.95","0.00"
"AFx12","10430","Answer Feathers","9281","3","3.95","0.00"
"AFx12","10430","Answer Feathers","9282","4","3.95","0.00"
"AFx12","10430","Answer Feathers","9283","4","3.95","0.00"
"AFx12","10430","Answer Feathers","9284","3","3.95","0.00"
"AFx12","10430","Answer Feathers","9285","4","3.95","0.00"
"AFx12","10430","Answer Feathers","9286","3","3.95","0.00"
"Fab-15C","10499","15C Dream Catcher Mural","","8","55.00","0.00"
"Fab - 19D","10634","19D Multiple Small Fish Mobile","","6","30.00","0.00"
"Fab-19B","10683","19B Bird Mobile","","8","36.00","0.00"
"Fab-16B","10933","16B Goose Guardien","","4","36.00","0.00"
"Fab - 2D","11140","2D Candle Holder Month","","4","28.00","0.00"
"Fab-18","11141","18 Wooden Earth Game","","4","17.95","0.00"
"Ookpik","11182","Ookpik","9192","1","49.00","0.00"
