"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price"
"9026-0308-85-1964185OBSM","1117","Mukluks for Men","3850","Shoe Size - 11","0","360.00","155.90","0.00"
"9026-0308-85-1964185OBSM","1117","Mukluks for Men","3851","Shoe Size - 12","0","360.00","155.90","0.00"
"9026-0308-85-1964185OBSM","1117","Mukluks for Men","3853","Shoe Size - 10","0","360.00","155.90","0.00"
"9026-0308-85-1964185OBSM","1117","Mukluks for Men","7548","Shoe Size - 7","0","360.00","155.90","0.00"
"9026-0308-85-1964185OBSM","1117","Mukluks for Men","7549","Shoe Size - 8","0","360.00","155.90","0.00"
"9026-0308-85-1964185OBSM","1117","Mukluks for Men","7550","Shoe Size - 9","0","360.00","155.90","0.00"
"9026-0308-85-1964185OBSM","1117","Mukluks for Men","7551","Shoe Size - 13","0","360.00","155.90","0.00"
"9026-0308-85-1964185OBSM","1117","Mukluks for Men","7552","Shoe Size - 14","0","360.00","155.90","0.00"
"9026-0308-85-1964185OBSM","1117","Mukluks for Men","7553","Shoe Size - 15","0","360.00","155.90","0.00"
"9013-0300-47RK-19245RK","1118","Mukluks for Men","3862","Shoe Size - 10","0","343.00","149.10","0.00"
"9013-0300-47RK-19245RK","1118","Mukluks for Men","3863","Shoe Size - 9","0","343.00","149.10","0.00"
"9013-0300-47RK-19245RK","1118","Mukluks for Men","7554","Shoe Size - 7","1","343.00","149.10","0.00"
"9013-0300-47RK-19245RK","1118","Mukluks for Men","7555","Shoe Size - 8","0","343.00","149.10","0.00"
"9013-0300-47RK-19245RK","1118","Mukluks for Men","7556","Shoe Size - 11","0","343.00","149.10","0.00"
"9013-0300-47RK-19245RK","1118","Mukluks for Men","7557","Shoe Size - 12","0","343.00","149.10","0.00"
"9013-0300-47RK-19245RK","1118","Mukluks for Men","7558","Shoe Size - 13","0","343.00","149.10","0.00"
"9013-0300-47RK-19245RK","1118","Mukluks for Men","7559","Shoe Size - 14","0","343.00","149.10","0.00"
"9013-0300-47RK-19245RK","1118","Mukluks for Men","7560","Shoe Size - 15","0","343.00","149.10","0.00"
"8193TAN","4139","Leather Mukluks for Men","7737","Shoe Size - 12","1","340.00","153.00","0.00"
"8193TAN","4139","Leather Mukluks for Men","7738","Shoe Size - 11","1","340.00","153.00","0.00"
"8193TAN","4139","Leather Mukluks for Men","7739","Shoe Size - 15","0","350.00","153.00","0.00"
