"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1325","Size - XS","1","189.00","74.00"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1326","Size - S","1","189.00","74.00"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1327","Size - M","1","189.00","74.00"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1328","Size - L","1","189.00","74.00"
"A16058-WPA0301NC04A","805","Carla Palazzo ""Silent Seekers""","1329","Size - XL","1","189.00","74.00"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1435","Size - XS","1","79.00","34.35"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1436","Size - S","1","79.00","34.35"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1437","Size - M","2","79.00","34.35"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1438","Size - L","1","79.00","34.35"
"A16058-WNS0701NC04A","807","Coco Tank ""Silent Seekers""","1439","Size - XL","1","79.00","34.35"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1430","Size - XS","0","79.00","34.35"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1431","Size - S","1","79.00","34.35"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1432","Size - M","1","79.00","34.35"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1433","Size - L","1","79.00","34.35"
"A16051-WNS0701NC05A","808","Coco Tank ""Northern Keepers""","1434","Size - XL","0","79.00","34.35"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1425","Size - XS","2","79.00","34.35"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1426","Size - S","0","79.00","34.35"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1427","Size - M","0","79.00","34.35"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1428","Size - L","1","79.00","34.35"
"A01028-WNS0701NC08A","809","Coco Tank ""Giving Thanks""","1429","Size - XL","0","79.00","34.35"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1405","Size - XS","1","89.00","35.00"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1406","Size - S","1","89.00","35.00"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1407","Size - M","1","89.00","35.00"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1408","Size - L","1","89.00","35.00"
"A16058-WSS0901NC04A","820","K Smith T-Shirt ""Silent Seekers""","1409","Size - XL","1","89.00","35.00"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1420","Size - XS","1","129.00","60.00"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1421","Size - S","1","129.00","60.00"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1422","Size - M","1","129.00","60.00"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1423","Size - L","1","129.00","60.00"
"A17064-WNS0801NC03A","822","Kaplan Tank ""M'Otter Love""","1424","Size - XL","1","129.00","60.00"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1415","Size - XS","1","129.00","60.00"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1416","Size - S","0","129.00","60.00"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1417","Size - M","1","129.00","60.00"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1418","Size - L","1","129.00","60.00"
"A16058-WNS0801NC04B","823","Kaplan Tank ""Silent Seekers""","1419","Size - XL","1","129.00","60.00"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1395","Size - XS","0","169.00","64.50"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1396","Size - S","1","169.00","64.50"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1397","Size - M","0","169.00","64.50"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1398","Size - L","0","169.00","64.50"
"A17063-WDR2601NC02A","825","Kate Dress ""Depth""","1399","Size - XL","1","169.00","64.50"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1390","Size - XS","1","169.00","64.50"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1391","Size - S","1","169.00","64.50"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1392","Size - M","0","169.00","64.50"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1393","Size - L","0","169.00","64.50"
"A17064-WDR2601NC03D","826","Kate Dress ""M'Otter Love""","1394","Size - XL","1","169.00","64.50"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1385","Size - XS","1","169.00","64.50"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1386","Size - S","1","169.00","64.50"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1387","Size - M","1","169.00","64.50"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1388","Size - L","0","169.00","64.50"
"A16058-WDR2601NC04A","827","Kate Dress ""Silent Seekers""","1389","Size - XL","1","169.00","64.50"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3042","Size - XS","1","169.00","64.50"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3043","Size - S","1","169.00","64.50"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3044","Size - M","1","169.00","64.50"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3045","Size - L","0","169.00","64.50"
"A01028-WDR2601NC08A","830","Kate Dress ""Giving Thanks""","3046","Size - XL","0","169.00","64.50"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1365","Size - XS","1","169.00","64.50"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1366","Size - S","0","169.00","64.50"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1367","Size - M","0","169.00","64.50"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1368","Size - L","0","169.00","64.50"
"W13023-WDR2601NC09A","831","Kate Dress ""Water and Spirit Buffalo""","1369","Size - XL","2","169.00","64.50"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1360","Size - XS","0","169.00","64.50"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1361","Size - S","1","169.00","64.50"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1362","Size - M","0","169.00","64.50"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1363","Size - L","0","169.00","64.50"
"A07020-WDR2601NC0AB","832","Kate Dress ""Journey to the Spirit World""","1364","Size - XL","1","169.00","64.50"
"A17063-WAC0201NC02A","845","Vivienne Scarf ""Depth""","","Vivienne Scarf ""Depth""","3","59.00","23.00"
"A17064-WAC0201NC03A","846","Vivienne Scarf ""M'Otter Love""","","Vivienne Scarf ""M'Otter Love""","4","59.00","23.00"
"A16058-WAC0201NC04A","847","Vivienne Scarf ""Silent Seekers""","","Vivienne Scarf ""Silent Seekers""","3","59.00","23.00"
"A16051-WAC0201NC05A","848","Vivienne Scarf ""Northern Keepers""","","Vivienne Scarf ""Northern Keepers""","5","59.00","23.00"
"A09006-WAC0201NC06A","849","Vivienne Scarf ""The River Keeper""","","Vivienne Scarf ""The River Keeper""","5","59.00","23.00"
"W12001-WAC0201NC07B","850","Vivienne Scarf ""Dialogue""","","Vivienne Scarf ""Dialogue""","4","59.00","23.00"
"A01028-WAC0201NC08A","851","Vivienne Scarf ""Giving Thanks""","","Vivienne Scarf ""Giving Thanks""","3","59.00","23.00"
"W13023-WAC0201NC09A","852","Vivienne Scarf ""Water and Spirit Buffalo""","","Vivienne Scarf ""Water and Spirit Buffalo""","4","59.00","23.00"
"A07020-WAC0201NC0AA","853","Vivienne Scarf ""Journey to the Spirit World""","","Vivienne Scarf ""Journey to the Spirit World""","5","59.00","23.00"
"A16052-WAC0201NC0BA","854","Vivienne Scarf ""Zenith""","","Vivienne Scarf ""Zenith""","4","59.00","23.00"
"A17065-WAC0201NC0CA","855","Vivienne Scarf ""Forest Temple""","","Vivienne Scarf ""Forest Temple""","6","59.00","23.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","1465","Size - XS","1","139.00","65.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2070","Size - S","1","139.00","65.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2071","Size - M","1","139.00","65.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2072","Size - L","1","139.00","65.00"
"A17064-WSS0701NC03C","858","Yoko Cape Tunic ""M'Otter Love""","2073","Size - XL","1","139.00","65.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1460","Size - XS","1","139.00","65.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1461","Size - S","1","139.00","65.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1462","Size - M","1","139.00","65.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1463","Size - L","1","139.00","65.00"
"A16058-WSS0701NC04A","859","Yoko Cape Tunic ""Silent Seekers""","1464","Size - XL","1","139.00","65.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3187","Size - XS","1","139.00","65.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3188","Size - S","1","139.00","65.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3189","Size - M","0","139.00","65.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3190","Size - L","0","139.00","65.00"
"W13023-WSS0701NC09A","862","Yoko Cape Tunic ""Water & Spirit Buffalo""","3191","Size - XL","0","139.00","65.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1440","Size - XS","0","139.00","65.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1441","Size - S","1","139.00","65.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1442","Size - M","0","139.00","65.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1443","Size - L","0","139.00","65.00"
"A16059-WSS0701NC0IA","864","Yoko Cape Tunic ""Wisdom Keepers""","1444","Size - XL","1","139.00","65.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3312","Size - XS","1","89.00","35.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3313","Size - S","1","89.00","35.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3314","Size - M","1","89.00","35.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3315","Size - L","1","89.00","35.00"
"A17064-WSS0901NC03B","865","K Smith T-Shirt ""M'Otter Love""","3316","Size - XL","0","89.00","35.00"
"A08011-MSS0701NC0HA","898","Salvadore Tee for Men ""Whisper""","3332","Size - XS","0","89.00","36.00"
"A08011-MSS0701NC0HA","898","Salvadore Tee for Men ""Whisper""","3333","Size - S","1","89.00","36.00"
"A08011-MSS0701NC0HA","898","Salvadore Tee for Men ""Whisper""","3334","Size - M","1","89.00","36.00"
"A08011-MSS0701NC0HA","898","Salvadore Tee for Men ""Whisper""","3335","Size - L","1","89.00","36.00"
"A08011-MSS0701NC0HA","898","Salvadore Tee for Men ""Whisper""","3336","Size - XL","1","89.00","36.00"
"W12018-WDR2601NC0DB","911","Kate Dress ""Early Evening Flowing into Fall""","3037","Size - XS","1","169.00","64.50"
