"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Unit price (tax excl.)","Unit price (per)"
"189","927","Leather Moccasins for Men","2127","Shoe Size - 13","1","103.00","55.00","0.00",""
"189","927","Leather Moccasins for Men","2128","Shoe Size - 12","2","103.00","55.00","0.00",""
"189","927","Leather Moccasins for Men","2129","Shoe Size - 11","1","103.00","55.00","0.00",""
"189","927","Leather Moccasins for Men","2566","Shoe Size - 15","1","113.00","55.00","0.00",""
"189","927","Leather Moccasins for Men","2567","Shoe Size - 14","1","113.00","55.00","0.00",""
"189","927","Leather Moccasins for Men","7177","Shoe Size - 6","0","103.00","55.00","0.00",""
"189","927","Leather Moccasins for Men","7178","Shoe Size - 7","1","103.00","55.00","0.00",""
"189","927","Leather Moccasins for Men","7179","Shoe Size - 8","0","103.00","55.00","0.00",""
"189","927","Leather Moccasins for Men","7180","Shoe Size - 9","1","103.00","55.00","0.00",""
"189","927","Leather Moccasins for Men","7181","Shoe Size - 10","0","103.00","55.00","0.00",""
"186","930","Leather Moccasins for Men","2153","Shoe Size - 12","0","103.00","0.00","0.00",""
"186","930","Leather Moccasins for Men","2154","Shoe Size - 11","0","103.00","0.00","0.00",""
"186","930","Leather Moccasins for Men","2155","Shoe Size - 10","0","103.00","0.00","0.00",""
"186","930","Leather Moccasins for Men","2156","Shoe Size - 6","0","103.00","0.00","0.00",""
"186","930","Leather Moccasins for Men","2159","Shoe Size - 9","0","103.00","0.00","0.00",""
"186","930","Leather Moccasins for Men","2160","Shoe Size - 13","0","103.00","0.00","0.00",""
"186","930","Leather Moccasins for Men","7182","Shoe Size - 7","0","103.00","0.00","0.00",""
"186","930","Leather Moccasins for Men","7183","Shoe Size - 8","2","103.00","0.00","0.00",""
"186","930","Leather Moccasins for Men","7184","Shoe Size - 14","0","113.00","0.00","0.00",""
"186","930","Leather Moccasins for Men","7185","Shoe Size - 15","0","113.00","0.00","0.00",""
"142","1020","Suede Moccasins for Men","2508","Shoe Size - 12","2","76.00","0.00","0.00",""
"142","1020","Suede Moccasins for Men","2512","Shoe Size - 8","0","76.00","0.00","0.00",""
"142","1020","Suede Moccasins for Men","7186","Shoe Size - 6","0","76.00","0.00","0.00",""
"142","1020","Suede Moccasins for Men","7187","Shoe Size - 7","0","76.00","0.00","0.00",""
"142","1020","Suede Moccasins for Men","7188","Shoe Size - 13","0","76.00","0.00","0.00",""
"142","1020","Suede Moccasins for Men","7189","Shoe Size - 14","0","86.00","0.00","0.00",""
"142","1020","Suede Moccasins for Men","7190","Shoe Size - 15","0","86.00","0.00","0.00",""
"142","1020","Suede Moccasins for Men","7191","Shoe Size - 9","0","76.00","0.00","0.00",""
"142","1020","Suede Moccasins for Men","7192","Shoe Size - 10","0","76.00","0.00","0.00",""
"142","1020","Suede Moccasins for Men","7193","Shoe Size - 11","0","76.00","0.00","0.00",""
"B489","1044","Leather Moccasins for Men","2744","Shoe Size - 7","3","108.00","58.50","0.00",""
"B489","1044","Leather Moccasins for Men","2745","Shoe Size - 8","0","108.00","58.50","0.00",""
"B489","1044","Leather Moccasins for Men","2746","Shoe Size - 10","0","108.00","58.50","0.00",""
"B489","1044","Leather Moccasins for Men","2748","Shoe Size - 12","4","108.00","58.50","0.00",""
"B489","1044","Leather Moccasins for Men","2749","Shoe Size - 13","6","108.00","58.50","0.00",""
"B489","1044","Leather Moccasins for Men","5997","Shoe Size - 9","0","108.00","58.50","0.00",""
"B489","1044","Leather Moccasins for Men","7216","Shoe Size - 6","0","108.00","58.50","0.00",""
"B489","1044","Leather Moccasins for Men","7217","Shoe Size - 14","6","118.00","58.50","0.00",""
"B489","1044","Leather Moccasins for Men","7218","Shoe Size - 15","0","118.00","58.50","0.00",""
"B489","1044","Leather Moccasins for Men","7219","Shoe Size - 11","2","108.00","58.50","0.00",""
"204","1056","Suede Moccasins for Men","2837","Shoe Size - 15","0","139.00","0.00","0.00",""
"204","1056","Suede Moccasins for Men","2838","Shoe Size - 14","0","139.00","0.00","0.00",""
"204","1056","Suede Moccasins for Men","2839","Shoe Size - 13","2","129.00","0.00","0.00",""
"204","1056","Suede Moccasins for Men","2840","Shoe Size - 12","2","129.00","0.00","0.00",""
"204","1056","Suede Moccasins for Men","2841","Shoe Size - 11","0","129.00","0.00","0.00",""
"204","1056","Suede Moccasins for Men","2842","Shoe Size - 10","0","129.00","0.00","0.00",""
"204","1056","Suede Moccasins for Men","2843","Shoe Size - 9","1","129.00","0.00","0.00",""
"204","1056","Suede Moccasins for Men","2844","Shoe Size - 8","1","129.00","0.00","0.00",""
"204","1056","Suede Moccasins for Men","2845","Shoe Size - 7","2","129.00","0.00","0.00",""
"204","1056","Suede Moccasins for Men","2846","Shoe Size - 6","0","129.00","0.00","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3663","Shoe Size - 6","0","174.00","73.70","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3664","Shoe Size - 7","2","174.00","73.70","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3665","Shoe Size - 8","1","174.00","73.70","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3668","Shoe Size - 11","1","174.00","73.70","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","3670","Shoe Size - 13","1","174.00","73.70","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","6905","Shoe Size - 14","0","174.00","73.70","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","7286","Shoe Size - 9","1","174.00","73.70","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","7287","Shoe Size - 10","1","174.00","73.70","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","7288","Shoe Size - 12","1","174.00","73.70","0.00",""
"6019-0300-41BR-9133BR","1101","Leather Moccasins for Men","7289","Shoe Size - 15","0","174.00","73.70","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3683","Shoe Size - 6","0","170.00","73.70","0.00",""
"6019-0300-41BR-9113MODKT-9113MO","1102","Suede Moccasins for Men","3685","Shoe Size - 8","1","170.00","73.70","0.00",""
