"Reference code","Product ID","Product name","Product Combinations ID","Combinations (Attribute - value pair)","Quantity","Final price (pre-tax)","Pre-tax wholesale price","Combinations wholesale price","Pre-tax retail price"
"189","927","Leather Moccasins for Men","2127","Shoe Size - 13","1","103.00","55.00","0.00","0.00"
"189","927","Leather Moccasins for Men","2128","Shoe Size - 12","2","103.00","55.00","0.00","0.00"
"189","927","Leather Moccasins for Men","2129","Shoe Size - 11","1","103.00","55.00","0.00","0.00"
"189","927","Leather Moccasins for Men","2566","Shoe Size - 15","1","113.00","55.00","0.00","0.00"
"189","927","Leather Moccasins for Men","2567","Shoe Size - 14","1","113.00","55.00","0.00","0.00"
"189","927","Leather Moccasins for Men","7177","Shoe Size - 6","0","103.00","55.00","0.00","0.00"
"189","927","Leather Moccasins for Men","7178","Shoe Size - 7","1","103.00","55.00","0.00","0.00"
"189","927","Leather Moccasins for Men","7179","Shoe Size - 8","0","103.00","55.00","0.00","0.00"
"189","927","Leather Moccasins for Men","7180","Shoe Size - 9","1","103.00","55.00","0.00","0.00"
"189","927","Leather Moccasins for Men","7181","Shoe Size - 10","0","103.00","55.00","0.00","0.00"
"188","928","Leather Moccasins for Men","2135","Shoe Size - 12","0","103.00","0.00","0.00","0.00"
"188","928","Leather Moccasins for Men","2136","Shoe Size - 11","0","103.00","0.00","0.00","0.00"
"188","928","Leather Moccasins for Men","2137","Shoe Size - 10","0","103.00","0.00","0.00","0.00"
"188","928","Leather Moccasins for Men","2138","Shoe Size - 6","0","103.00","0.00","0.00","0.00"
"188","928","Leather Moccasins for Men","2139","Shoe Size - 7","0","103.00","0.00","0.00","0.00"
"188","928","Leather Moccasins for Men","2140","Shoe Size - 8","0","103.00","0.00","0.00","0.00"
"188","928","Leather Moccasins for Men","2141","Shoe Size - 9","0","103.00","0.00","0.00","0.00"
"188","928","Leather Moccasins for Men","2142","Shoe Size - 13","0","103.00","0.00","0.00","0.00"
"188","928","Leather Moccasins for Men","2552","Shoe Size - 14","0","113.00","0.00","0.00","0.00"
"188","928","Leather Moccasins for Men","2553","Shoe Size - 15","0","113.00","0.00","0.00","0.00"
"186","930","Leather Moccasins for Men","2153","Shoe Size - 12","0","103.00","0.00","101.00","0.00"
"186","930","Leather Moccasins for Men","2154","Shoe Size - 11","0","103.00","0.00","101.00","0.00"
"186","930","Leather Moccasins for Men","2155","Shoe Size - 10","0","103.00","0.00","101.00","0.00"
"186","930","Leather Moccasins for Men","2156","Shoe Size - 6","0","103.00","0.00","101.00","0.00"
"186","930","Leather Moccasins for Men","2159","Shoe Size - 9","0","103.00","0.00","101.00","0.00"
"186","930","Leather Moccasins for Men","2160","Shoe Size - 13","0","103.00","0.00","101.00","0.00"
"186","930","Leather Moccasins for Men","7182","Shoe Size - 7","0","103.00","0.00","101.00","0.00"
"186","930","Leather Moccasins for Men","7183","Shoe Size - 8","2","103.00","0.00","101.00","0.00"
"186","930","Leather Moccasins for Men","7184","Shoe Size - 14","0","113.00","0.00","0.00","0.00"
"186","930","Leather Moccasins for Men","7185","Shoe Size - 15","0","113.00","0.00","0.00","0.00"
"193","932","Leather Moccasins for Men","12334","Shoe Size - 6","0","122.00","52.50","0.00","0.00"
"193","932","Leather Moccasins for Men","12335","Shoe Size - 7","0","122.00","52.50","0.00","0.00"
"193","932","Leather Moccasins for Men","12336","Shoe Size - 8","0","122.00","52.50","0.00","0.00"
"193","932","Leather Moccasins for Men","12337","Shoe Size - 9","0","122.00","52.50","0.00","0.00"
"193","932","Leather Moccasins for Men","12338","Shoe Size - 10","0","122.00","52.50","0.00","0.00"
"193","932","Leather Moccasins for Men","12339","Shoe Size - 11","0","122.00","52.50","0.00","0.00"
"193","932","Leather Moccasins for Men","12340","Shoe Size - 12","0","122.00","52.50","0.00","0.00"
"193","932","Leather Moccasins for Men","12341","Shoe Size - 13","0","122.00","52.50","0.00","0.00"
"197","1019","Suede Moccasins for Men","2497","Shoe Size - 10","0","85.00","35.60","0.00","0.00"
"197","1019","Suede Moccasins for Men","2498","Shoe Size - 11","0","85.00","35.60","0.00","0.00"
"197","1019","Suede Moccasins for Men","2499","Shoe Size - 12","0","85.00","35.60","0.00","0.00"
"197","1019","Suede Moccasins for Men","2500","Shoe Size - 13","0","85.00","35.60","0.00","0.00"
"197","1019","Suede Moccasins for Men","2501","Shoe Size - 7","0","85.00","35.60","0.00","0.00"
"197","1019","Suede Moccasins for Men","2502","Shoe Size - 6","0","85.00","35.60","0.00","0.00"
"197","1019","Suede Moccasins for Men","2503","Shoe Size - 8","1","85.00","35.60","0.00","0.00"
"197","1019","Suede Moccasins for Men","2504","Shoe Size - 9","0","85.00","35.60","0.00","0.00"
"197","1019","Suede Moccasins for Men","2580","Shoe Size - 14","0","95.00","35.60","0.00","0.00"
