"Reference code","Product ID","Product name","10_FEATURE_Image size","9_FEATURE_Mat size","12_FEATURE_Number of copies","8_FEATURE_Card size","Product Combinations ID","Quantity","Final price (pre-tax)","Pre-tax wholesale price"
"A01030-7","14","Card - Eagle Moon","","","","5"" x 7""","","121","5.5","2.5"
"A01028-POD2555","17","Card - Giving Thanks","","","","6"" x 9""","","3","6.35","2.75"
"A01031","20","Card - Honoring the Giver of Life","","","","5"" x 7""","","184","5.5","2.5"
"A01032-7","23","Card - Moon Wisdom","","","","5"" x 7""","","63","5.5","2.5"
"A01036-7","30","Card - Teachings","","","","5"" x 7""","","28","5.5","2.5"
"A01035-7","34","Card - Strength Within","","","","5"" x 7""","","353","5.5","2.5"
"A01034-POD2570","35","Card - Reaching Out","","","","6"" x 9""","","5","6.35","2.75"
"A01037-7","40","Card - Trust","","","","5"" x 7""","","124","5.5","2.5"
"A08011-7","44","Card - Whisper","","","","5"" x 7""","","98","5.5","2.5"
"A08007-POD2548","47","Card - A Moose and Goose","","","","6"" x 9""","","13","6.35","2.75"
"A10012-POD2565","51","Card - Sky Sisters","","","","9"" x 6""","","15","6.35","2.75"
"A10004-7","54","Card - Merging Earth and Sky","","","","7"" x 5""","","209","5.5","2.5"
"A08013-POD2584","61","Card - New Day","","","","6"" x 9""","","9","6.35","2.75"
"A08045-20084","64","Card - Patience","","","","6"" x 9""","","10","6.35","2.75"
"A01029-POD2882","67","Card - Birth of Eagle Shadow","","","","6"" x 9""","","12","6.35","2.75"
"A08019-POD2886","70","Card - Unity","","","","6"" x 9""","","14","6.35","2.75"
"A09006-POD2579","73","Card - River Keeper","","","","6"" x 9""","","15","6.35","2.75"
"A04015-20085","76","Card - Rebirth","","","","6"" x 9""","","23","6.35","2.75"
"W13025-POD2569","85","Card - Passage","","","","6"" x 9""","","7","6.35","2.75"
"W12008-POD2581","95","Card - Winter Wolves","","","","9"" x 6""","","11","6.35","2.75"
"W12005-POD2552","104","Card - Earth Keeper","","","","6"" x 9""","","10","6.35","2.75"
"W12016-POD2556","107","Card - Going Home","","","","6"" x 9""","","10","6.35","2.75"
"W12018-POD2551","113","Card - Early Evening Flowing Into Fall","","","","9"" x 6""","","9","6.35","2.75"
"SKU: 53-53-620","127","Bill Helin Killer Whale Pot Holder","","","","","","2","15.95","5.75"
"SKU: 53-53-582","132","Bill Helin Chilkat Oven Mitt","","","","","1081","0","19.95","7.5"
"SKU: 53-53-582","132","Bill Helin Chilkat Oven Mitt","","","","","1082","2","19.95","7.5"
"SKU: 53-53-672","135","Bill Helin Eagle Oven Mitt","","","","","","2","19.95","8"
"SKU: 53-53-553","151","Bill Helin Hummingbird Oven Mitt","","","","","","2","19.95","8"
"SKU: 53-53-552","152","Bill Helin Hummingbird Pot Holder","","","","","","2","15.95","5.75"
"SKU: 53-53-007","171","Bill Helin Raven Oven Mitt","","","","","","2","19.95","8"
"SKU: 52-52-792","179","Andrew Williams Hummingbird Oven Mitt","","","","","","2","19.95","8"
"SKU: 52-52-791","181","Andrew Williams Hummingbird Pot Holder","","","","","","2","15.95","6.5"
"SKU: 00-04-531","240","Corrine Hunt Sea to Sky Cheese Knife","","","","","","2","56","22"
"A00048-7-POD2884","251","Card - The Protector","","","","6"" x 9""","","14","6.35","2.75"
"A01003-POD2575","257","Card - Sky Girl","","","","6"" x 9""","","18","6.35","2.75"
"SKU: 52-52-627","259","Jim Charlie Raven Oven Mitt","","","","","","2","19.95","8"
"A04060-20083","262","Card - Passing Through","","","","6"" x 9""","","8","6.35","2.75"
"A09054-20087","268","Card - Tranquility","","","","6"" x 9""","","12","6.35","2.75"
"A10044-POD2572","285","Card - The Return","","","","6"" x 9""","","19","6.35","2.75"
"A13056-POD2568","290","Card - Otherness","","","","9"" x 6""","","7","6.35","2.75"
"A13057-POD2567","294","Card - Origins","","","","6"" x 9""","","7","6.35","2.75"
"A16051-POD2566","299","Card - Northern Keepers","","","","6"" x 9""","","3","6.35","2.75"
"A16052-POD2586","304","Card - Zenith","","","","6"" x 9""","","20","6.35","2.75"
"A16058-POD2574","309","Card - Silent Seekers","","","","9"" x 6""","","8","6.35","2.75"
"A16059-POD2582","313","Card - Wisdom Keepers","","","","9"" x 6""","","0","6.35","2.75"
"A95053-20081","315","Card - Messenger","","","","6"" x 9""","","16","6.35","2.75"
"A14051-POD2554","318","Card - Gezaluwejit","","","","6"" x 9""","","11","6.35","2.75"
"W13026-7","321","Card - In Her World","","","","7"" x 5""","","7","5.5","2.5"
"W13047-POD2560","324","Card - Inner Memories","","","","9"" x 6""","","11","6.35","2.75"
"A12050-POD2559","332","Card - Ice Dream","","","","9"" x 6""","","7","6.35","2.75"
"W13053-20086","338","Card - Roots Of Another World","","","","9"" x 6""","","12","6.35","2.75"
"A01038-7","341","Card - Harmony","","","","7"" x 5""","","99","5.5","2.5"
"A01040-7","344","Card - Sharing","","","","5"" x 7""","","230","5.5","2.5"
"W13023-POD2887","350","Card - Water and Spirit Buffalo","","","","9"" x 6""","","6","6.35","2.75"
"SKU: 52-52-411","358","Connie Dickens Raven Passport Bag","","","","","","2","40","16.75"
"SKU: 52-52-410","359","Connie Dickens Raven Zip Pouch","","","","","","3","20","8.25"
"SKU: 52-52-851","368","Kelly Robinson Eagle Passport Purse","","","","","","3","40","16.75"
"SKU: 52-52-860","371","Kelly Robinson Eagle Zip Pouch","","","","","","3","20","8.25"
"SKU: 00-07-730x3","373","Corrine Hunt Silk Inspiration Bangle","","","","","1038","0","54","23.5"
"SKU: 00-07-730x3","373","Corrine Hunt Silk Inspiration Bangle","","","","","1039","1","54","23.5"
"SKU: 00-07-730x3","373","Corrine Hunt Silk Inspiration Bangle","","","","","1040","1","54","23.5"
"SKU: 00-07-733x3","374","Corrine Hunt Silk Inspiration Bangle","","","","","1035","2","54","23.5"
"SKU: 00-07-733x3","374","Corrine Hunt Silk Inspiration Bangle","","","","","1036","0","54","23.5"
"SKU: 00-07-733x3","374","Corrine Hunt Silk Inspiration Bangle","","","","","1037","1","54","23.5"
"SKU: 00-07-739x3","395","Kelly Robinson Silk Inspiration Bangle","","","","","1028","0","54","23.5"
"SKU: 00-07-739x3","395","Kelly Robinson Silk Inspiration Bangle","","","","","1029","0","54","23.5"
"SKU: 00-07-739x3","395","Kelly Robinson Silk Inspiration Bangle","","","","","1030","2","54","23.5"
"SKU: 00-07-668","401","Kelly Robinson Silk Inspiration Oval Earrings","","","","","","2","50","21.5"
"SKU: 00-07-671","404","Kelly Robinson Silk Inspiration Trapezoid Earrings","","","","","","2","50","21.5"
"SKU: 00-07-656","410","Kelly Robinson Silk Inspiration Round Pendant","","","","","","2","46","16.5"
"SKU: 00-07-504","428","Corrine Hunt Wolf Pendant","","","","","","2","82","35.5"
"SKU: 00-02-826","477","Potlatch Bear Dish","","","","","","2","116","50.5"
"SKU: 00-02-822","480","Potlatch Frog Bowl","","","","","","2","116","50.5"
"SKU: 54-54-116","485","Moccasins Bear Box","","","","","1087","0","92","40"
"SKU: 54-54-116","485","Moccasins Bear Box","","","","","1088","0","92","40"
"SKU: 54-54-116","485","Moccasins Bear Box","","","","","1089","0","92","40"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","","","","","102","0","32.95","14.5"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","","","","","103","2","32.95","14.5"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","","","","","104","2","32.95","14.5"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","","","","","105","2","32.95","14.5"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","","","","","2069","0","32.95","14.5"
"SKU: 54-54-395","502","Mini Coin Purse Bear Box","","","","","3952","3","32.95","14.5"
"SKU: 54-54-208","509","Passport Pouch Bear Box","","","","","4097","0","72","31"
"SKU: 54-54-208","509","Passport Pouch Bear Box","","","","","4098","1","72","31"
"SKU: 54-54-208","509","Passport Pouch Bear Box","","","","","4099","0","72","31"
"SKU: 54-54-208","509","Passport Pouch Bear Box","","","","","4100","0","72","31"
"SKU: 54-54-208","509","Passport Pouch Bear Box","","","","","4102","1","72","31"
"SKU: 54-54-208","509","Passport Pouch Bear Box","","","","","4121","0","72","31"
"SKU: 54-54-208","509","Passport Pouch Bear Box","","","","","7834","1","72","31"
"SKU: 54-54-208","509","Passport Pouch Bear Box","","","","","9129","1","72","31"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","","","","","8523","0","120","52"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","","","","","8524","0","120","52"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","","","","","8525","0","120","52"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","","","","","8526","1","120","52"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","","","","","8527","0","120","52"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","","","","","8528","0","120","52"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","","","","","8529","1","120","52"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","","","","","8530","1","120","52"
"SKU: 54-54-203","518","Embossed Solo Bag Bear Box","","","","","8531","0","120","52"
"6080-0408-41BU-600BU","537","Ladies Suede Slippers","","","","","534","1","108","46.9"
"6080-0408-41BU-600BU","537","Ladies Suede Slippers","","","","","535","1","108","46.9"
"6080-0408-41BU-600BU","537","Ladies Suede Slippers","","","","","536","0","108","46.9"
"6080-0408-41BU-600BU","537","Ladies Suede Slippers","","","","","537","0","108","46.9"
"6080-0408-41BU-600BU","537","Ladies Suede Slippers","","","","","538","0","108","46.9"
"6080-0408-41BU-600BU","537","Ladies Suede Slippers","","","","","539","0","108","46.9"
