"Product ID","Product Combinations ID","Show price","Pre-tax wholesale price","Pre-tax retail price","Final price (pre-tax)","Retail price with tax","Final price (with-tax)","Quantity"
"14","","1","2.50","5.50","5.50","6.32","6.32","121"
"17","","1","2.75","6.35","6.35","7.30","7.30","3"
"20","","1","2.50","5.50","5.50","6.32","6.32","184"
"23","","1","2.50","5.50","5.50","6.32","6.32","63"
"30","","1","2.50","5.50","5.50","6.32","6.32","28"
"34","","1","2.50","5.50","5.50","6.32","6.32","353"
"35","","1","2.75","6.35","6.35","7.30","7.30","5"
"40","","1","2.50","5.50","5.50","6.32","6.32","124"
"44","","1","2.50","5.50","5.50","6.32","6.32","98"
"47","","1","2.75","6.35","6.35","7.30","7.30","13"
"51","","1","2.75","6.35","6.35","7.30","7.30","15"
"54","","1","2.50","5.50","5.50","6.32","6.32","209"
"58","","1","2.50","5.50","5.50","6.32","6.32","0"
"61","","1","2.75","6.35","6.35","7.30","7.30","9"
"64","","1","2.75","6.35","6.35","7.30","7.30","10"
"67","","1","2.75","6.35","6.35","7.30","7.30","12"
"70","","1","2.75","6.35","6.35","7.30","7.30","14"
"73","","1","2.75","6.35","6.35","7.30","7.30","15"
"76","","1","2.75","6.35","6.35","7.30","7.30","23"
"79","","1","2.50","5.50","5.50","6.32","6.32","0"
"85","","1","2.75","6.35","6.35","7.30","7.30","7"
"88","","1","2.75","6.35","6.35","7.30","7.30","0"
"95","","1","2.75","6.35","6.35","7.30","7.30","11"
"101","","1","2.50","5.50","5.50","6.32","6.32","0"
"104","","1","2.75","6.35","6.35","7.30","7.30","10"
"107","","1","2.75","6.35","6.35","7.30","7.30","10"
"113","","1","2.75","6.35","6.35","7.30","7.30","9"
"251","","1","2.75","6.35","6.35","7.30","7.30","14"
"257","","1","2.75","6.35","6.35","7.30","7.30","18"
"262","","1","2.75","6.35","6.35","7.30","7.30","8"
"268","","1","2.75","6.35","6.35","7.30","7.30","12"
"285","","1","2.75","6.35","6.35","7.30","7.30","19"
"290","","1","2.75","6.35","6.35","7.30","7.30","7"
"294","","1","2.75","6.35","6.35","7.30","7.30","7"
"299","","1","2.75","6.35","6.35","7.30","7.30","3"
"304","","1","2.75","6.35","6.35","7.30","7.30","20"
"309","","1","2.75","6.35","6.35","7.30","7.30","8"
"313","","1","2.75","6.35","6.35","7.30","7.30","0"
"315","","1","2.75","6.35","6.35","7.30","7.30","16"
"318","","1","2.75","6.35","6.35","7.30","7.30","11"
