"Product name","Reference code","Product ID","Combinations (Attribute - value pair)","Product Combinations ID","Pre-tax wholesale price","Pre-tax retail price","Retail price with tax","Quantity"
"Card - Eagle Moon","A01030-7","14","Carte - Lune de l'Aigle","","2.50","5.50","6.32","121"
"Card - Giving Thanks","A01028-POD2555","17","Carte - Rendre Grâce","","2.75","6.35","7.30","3"
"Card - Honoring the Giver of Life","A01031","20","Carte - Hommage à la Source de Vie","","2.50","5.50","6.32","184"
"Card - Moon Wisdom","A01032-7","23","Carte - Sagesse de la Lune","","2.50","5.50","6.32","63"
"Card - Teachings","A01036-7","30","Carte - Le Chant du Tambour","","2.50","5.50","6.32","28"
"Card - Strength Within","A01035-7","34","Carte - La force Intérieur","","2.50","5.50","6.32","353"
"Card - Reaching Out","A01034-POD2570","35","Carte - Chaleur de Terre","","2.75","6.35","7.30","5"
"Card - Trust","A01037-7","40","Carte - La Confiance","","2.50","5.50","6.32","124"
"Card - Whisper","A08011-7","44","Carte - Murmure","","2.50","5.50","6.32","98"
"Card - A Moose and Goose","A08007-POD2548","47","Carte - Un Orignal et une Outarde","","2.75","6.35","7.30","13"
"Card - Sky Sisters","A10012-POD2565","51","Carte - Nos Soeurs du Ciel","","2.75","6.35","7.30","15"
"Card - Merging Earth and Sky","A10004-7","54","Carte - Fusion Entre Terre et Ciel","","2.50","5.50","6.32","209"
"Card - Geese Spirit","A10046-7","58","Carte - L'Esprit de l'Outarde","","2.50","5.50","6.32","0"
"Card - New Day","A08013-POD2584","61","Carte - Nouveau Jour","","2.75","6.35","7.30","9"
"Card - Patience","A08045-20084","64","Carte - Patience","","2.75","6.35","7.30","10"
"Card - Birth of Eagle Shadow","A01029-POD2882","67","Carte - Naissance de l'Ombre de l'Aigle","","2.75","6.35","7.30","12"
"Card - Unity","A08019-POD2886","70","Carte - Union","","2.75","6.35","7.30","14"
"Card - River Keeper","A09006-POD2579","73","Carte - La Gardienne de l'Eau","","2.75","6.35","7.30","15"
"Card - Rebirth","A04015-20085","76","Carte - Renaissance","","2.75","6.35","7.30","23"
"Card - Nostalgia","A04039-7","79","Carte - Nostalgia","","2.50","5.50","6.32","0"
"Card - Passage","W13025-POD2569","85","Carte - Passage","","2.75","6.35","7.30","7"
"Card - Breath of Life","W12024-20076","88","Carte - Souffle de Vie","","2.75","6.35","7.30","0"
"Card - Winter Wolves","W12008-POD2581","95","Carte - Loups d'Hiver","","2.75","6.35","7.30","11"
