"Product name","Reference code","Product ID","Pre-tax wholesale price","Pre-tax retail price","Retail price with tax","Quantity","Product Combinations ID"
"Card - Eagle Moon","A01030-7","14","2.50","5.50","6.32","121",""
"Card - Giving Thanks","A01028-POD2555","17","2.75","6.35","7.30","3",""
"Card - Honoring the Giver of Life","A01031","20","2.50","5.50","6.32","184",""
"Card - Moon Wisdom","A01032-7","23","2.50","5.50","6.32","63",""
"Card - Teachings","A01036-7","30","2.50","5.50","6.32","28",""
"Card - Strength Within","A01035-7","34","2.50","5.50","6.32","353",""
"Card - Reaching Out","A01034-POD2570","35","2.75","6.35","7.30","5",""
"Card - Trust","A01037-7","40","2.50","5.50","6.32","124",""
"Card - Whisper","A08011-7","44","2.50","5.50","6.32","98",""
"Card - A Moose and Goose","A08007-POD2548","47","2.75","6.35","7.30","13",""
"Card - Sky Sisters","A10012-POD2565","51","2.75","6.35","7.30","15",""
"Card - Merging Earth and Sky","A10004-7","54","2.50","5.50","6.32","209",""
"Card - New Day","A08013-POD2584","61","2.75","6.35","7.30","9",""
"Card - Patience","A08045-20084","64","2.75","6.35","7.30","10",""
"Card - Birth of Eagle Shadow","A01029-POD2882","67","2.75","6.35","7.30","12",""
"Card - Unity","A08019-POD2886","70","2.75","6.35","7.30","14",""
"Card - River Keeper","A09006-POD2579","73","2.75","6.35","7.30","15",""
"Card - Rebirth","A04015-20085","76","2.75","6.35","7.30","23",""
"Card - Passage","W13025-POD2569","85","2.75","6.35","7.30","7",""
"Card - Winter Wolves","W12008-POD2581","95","2.75","6.35","7.30","11",""
"Card - Earth Keeper","W12005-POD2552","104","2.75","6.35","7.30","10",""
"Card - Going Home","W12016-POD2556","107","2.75","6.35","7.30","10",""
"Card - Early Evening Flowing Into Fall","W12018-POD2551","113","2.75","6.35","7.30","9",""
"Card - The Protector","A00048-7-POD2884","251","2.75","6.35","7.30","14",""
"Card - Sky Girl","A01003-POD2575","257","2.75","6.35","7.30","18",""
"Card - Passing Through","A04060-20083","262","2.75","6.35","7.30","8",""
"Card - Tranquility","A09054-20087","268","2.75","6.35","7.30","12",""
"Card - The Return","A10044-POD2572","285","2.75","6.35","7.30","19",""
"Card - Otherness","A13056-POD2568","290","2.75","6.35","7.30","7",""
"Card - Origins","A13057-POD2567","294","2.75","6.35","7.30","7",""
"Card - Northern Keepers","A16051-POD2566","299","2.75","6.35","7.30","3",""
"Card - Zenith","A16052-POD2586","304","2.75","6.35","7.30","20",""
"Card - Silent Seekers","A16058-POD2574","309","2.75","6.35","7.30","8",""
"Card - Wisdom Keepers","A16059-POD2582","313","2.75","6.35","7.30","0",""
"Card - Messenger","A95053-20081","315","2.75","6.35","7.30","16",""
"Card - Gezaluwejit","A14051-POD2554","318","2.75","6.35","7.30","11",""
"Card - In Her World","W13026-7","321","2.50","5.50","6.32","7",""
"Card - Inner Memories","W13047-POD2560","324","2.75","6.35","7.30","11",""
"Card - Ice Dream","A12050-POD2559","332","2.75","6.35","7.30","7",""
"Card - Roots Of Another World","W13053-20086","338","2.75","6.35","7.30","12",""
"Card - Harmony","A01038-7","341","2.50","5.50","6.32","99",""
"Card - Sharing","A01040-7","344","2.50","5.50","6.32","230",""
"Card - Water and Spirit Buffalo","W13023-POD2887","350","2.75","6.35","7.30","6",""
"Card - The Forest Temple","A17065-POD2578","781","2.75","6.35","7.30","5",""
"Card - Depth","A17063-POD2550","782","2.75","6.35","7.30","8",""
"Card - M'Otter love","A17064-POD2563","784","2.75","6.35","7.30","3",""
"Card - Abundance","A09055-7","798","2.50","5.50","6.32","7",""
"Card - Northern Masters","W18053-7-POD2883","799","2.75","6.35","7.30","7",""
"Card - All my Relations","A20067-POD2580","4080","2.75","6.35","7.30","7",""
"Card - Refuge","A20055-POD2571","4156","2.75","6.35","7.30","13",""
"Card - Seed of Life","A18061-POD2573","4157","2.75","6.35","7.30","7",""
"Card - New Fire","A01033-7","5389","2.50","5.50","6.32","162",""
"Card - Synchronicity","W12017-POD2576","13550","2.75","6.35","7.30","12",""
"Card - Lapinx","A13041-POD2583","13551","2.75","6.35","7.30","21",""
"Card - Geese Spirit","A10046-POD2553","16990","2.75","6.35","7.30","14",""
"Card - Merging Earth and Sky","A10004-POD2561","16991","2.75","6.35","7.30","12",""
"Card - Honoring the Giver of Life","POD2558","17150","2.75","6.35","7.30","9",""
"Card - Sky Sisters","A10012-7","17226","2.50","5.50","6.32","219",""
