"Product name","Reference code","Product ID","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID"
"Card - Eagle Moon","A01030-7","14","121","2.50","5.50",""
"Card - Giving Thanks","A01028-POD2555","17","3","2.75","6.35",""
"Card - Honoring the Giver of Life","A01031","20","184","2.50","5.50",""
"Card - Moon Wisdom","A01032-7","23","63","2.50","5.50",""
"Card - Teachings","A01036-7","30","28","2.50","5.50",""
"Card - Strength Within","A01035-7","34","353","2.50","5.50",""
"Card - Reaching Out","A01034-POD2570","35","5","2.75","6.35",""
"Card - Trust","A01037-7","40","124","2.50","5.50",""
"Card - Whisper","A08011-7","44","98","2.50","5.50",""
"Card - A Moose and Goose","A08007-POD2548","47","13","2.75","6.35",""
"Card - Sky Sisters","A10012-POD2565","51","15","2.75","6.35",""
"Card - Merging Earth and Sky","A10004-7","54","209","2.50","5.50",""
"Card - New Day","A08013-POD2584","61","9","2.75","6.35",""
"Card - Patience","A08045-20084","64","10","2.75","6.35",""
"Card - Birth of Eagle Shadow","A01029-POD2882","67","12","2.75","6.35",""
"Card - Unity","A08019-POD2886","70","14","2.75","6.35",""
"Card - River Keeper","A09006-POD2579","73","15","2.75","6.35",""
"Card - Rebirth","A04015-20085","76","23","2.75","6.35",""
"Card - Passage","W13025-POD2569","85","7","2.75","6.35",""
"Card - Winter Wolves","W12008-POD2581","95","11","2.75","6.35",""
"Card - Earth Keeper","W12005-POD2552","104","10","2.75","6.35",""
"Card - Going Home","W12016-POD2556","107","10","2.75","6.35",""
"Card - Early Evening Flowing Into Fall","W12018-POD2551","113","9","2.75","6.35",""
"Card - The Protector","A00048-7-POD2884","251","14","2.75","6.35",""
"Card - Sky Girl","A01003-POD2575","257","18","2.75","6.35",""
"Card - Passing Through","A04060-20083","262","8","2.75","6.35",""
"Card - Tranquility","A09054-20087","268","12","2.75","6.35",""
"Card - The Return","A10044-POD2572","285","19","2.75","6.35",""
"Card - Otherness","A13056-POD2568","290","7","2.75","6.35",""
"Card - Origins","A13057-POD2567","294","7","2.75","6.35",""
"Card - Northern Keepers","A16051-POD2566","299","3","2.75","6.35",""
"Card - Zenith","A16052-POD2586","304","20","2.75","6.35",""
"Card - Silent Seekers","A16058-POD2574","309","8","2.75","6.35",""
"Card - Wisdom Keepers","A16059-POD2582","313","0","2.75","6.35",""
"Card - Messenger","A95053-20081","315","16","2.75","6.35",""
"Card - Gezaluwejit","A14051-POD2554","318","11","2.75","6.35",""
"Card - In Her World","W13026-7","321","7","2.50","5.50",""
"Card - Inner Memories","W13047-POD2560","324","11","2.75","6.35",""
"Card - Ice Dream","A12050-POD2559","332","7","2.75","6.35",""
"Card - Roots Of Another World","W13053-20086","338","12","2.75","6.35",""
"Card - Harmony","A01038-7","341","99","2.50","5.50",""
"Card - Sharing","A01040-7","344","230","2.50","5.50",""
"Card - Water and Spirit Buffalo","W13023-POD2887","350","6","2.75","6.35",""
"Card - The Forest Temple","A17065-POD2578","781","5","2.75","6.35",""
"Card - Depth","A17063-POD2550","782","6","2.75","6.35",""
"Card - M'Otter love","A17064-POD2563","784","2","2.75","6.35",""
"Card - Abundance","A09055-7","798","7","2.50","5.50",""
"Card - Northern Masters","W18053-7-POD2883","799","7","2.75","6.35",""
"Card - All my Relations","A20067-POD2580","4080","7","2.75","6.35",""
"Card - Refuge","A20055-POD2571","4156","13","2.75","6.35",""
"Card - Seed of Life","A18061-POD2573","4157","7","2.75","6.35",""
"Card - New Fire","A01033-7","5389","162","2.50","5.50",""
"Card - Synchronicity","W12017-POD2576","13550","12","2.75","6.35",""
"Card - Lapinx","A13041-POD2583","13551","21","2.75","6.35",""
"Card - Geese Spirit","A10046-POD2553","16990","14","2.75","6.35",""
"Card - Merging Earth and Sky","A10004-POD2561","16991","12","2.75","6.35",""
"Card - Honoring the Giver of Life","POD2558","17150","9","2.75","6.35",""
"Card - Sky Sisters","A10012-7","17226","219","2.50","5.50",""
