"Product name","Reference code","Quantity","Pre-tax retail price","Combinations Impact on price (pre-tax)","Unit price (per)","Product Combinations ID","Product ID"
"Canvas - Geese Spirit","A10046-POD2553C","3","40.00","0.00","","","12704"
"Canvas - Honoring the Giver of Life","A01031-POD2558C","2","40.00","0.00","","","12707"
"Canvas - Merging Earth and Sky","A10004-POD2561C","2","40.00","0.00","","","12710"
"Canvas - Protector","A00048-POD2884C","2","40.00","0.00","","","12714"
"Canvas - Refuge","A20055-POD2571C","3","40.00","0.00","","","12716"
"Canvas - River Keeper","A09006-POD2579C","3","40.00","0.00","","","12717"
"Canvas - Sky Girl","A01003-POD2575C","3","40.00","0.00","","","12719"
"Canvas - Seed of Life","A18061-POD2573C","3","45.00","0.00","","","13718"
"Canvas - Patience","A08045-20084C","3","40.00","0.00","","","14177"
"Canvas - Journey to the Spirit World","A07020-20080C","2","45.00","0.00","","","14178"
"Canvas - Inner Memories","W13047-POD2560C","3","40.00","0.00","","","14179"
"Canvas - Ice Dream","A12050-POD2559C","2","40.00","0.00","","","14180"
"Canvas - Harmony","A01038-POD2557C","2","40.00","0.00","","","14181"
"Canvas - Wisdom Keepers","A16059-POD2582C","0","0.00","65.00","","10978","15190"
"Canvas - Wisdom Keepers","A16059-POD2582C","0","0.00","40.00","","10979","15190"
"Canvas - Wisdom Keepers","A16059-POD2582C","3","0.00","40.00","","13195","15190"
"Canvas - Sky Sisters","A10012-POD2565C","2","40.00","0.00","","","15191"
"Canvas - Giving Thanks","A01028-POD2555C","3","40.00","0.00","","","15195"
"Canvas - Early evening flowing into fall","W12018-POD2551C","4","40.00","0.00","","","16454"
"Canvas - New Fire","A01033-POD2581C","3","40.00","0.00","","","16457"
"Canvas - The Return","A10044-POD2572C","2","40.00","0.00","","","16458"
"Canvas - Winter Wolves","W12008-POD2581C","4","40.00","0.00","","","16460"
"Canvas - In Her World","W13026-20079C","2","40.00","0.00","","","16504"
"Canvas - Earth keeper","POD2552C","3","40.00","0.00","","","16684"
"Canvas - Teachings","POD2577C","2","40.00","0.00","","","16685"
"Canvas - Roots of Another World","20086","3","40.00","0.00","","","16996"
