"Product name","Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Product Combinations ID","Product ID"
"Canvas - River Keeper","A09006-1","0","0.00","0.00","495.00","1854","741"
"Canvas - River Keeper","A09006-1","0","0.00","0.00","495.00","1855","741"
"Canvas - River Keeper","A09006-1","0","0.00","0.00","495.00","1856","741"
"Canvas - River Keeper","A09006-1","1","0.00","0.00","315.00","8134","741"
"Canvas - River Keeper","A09006-1","0","0.00","0.00","695.00","8135","741"
"Canvas - River Keeper","A09006-1","1","0.00","0.00","695.00","9712","741"
"Canvas - Zenith","A16052-1","0","0.00","0.00","345.00","1866","766"
"Canvas - Zenith","A16052-1","0","0.00","0.00","345.00","1867","766"
"Canvas - Zenith","A16052-1","0","0.00","0.00","345.00","1868","766"
"Canvas - Zenith","A16052-1","0","0.00","0.00","245.00","9715","766"
"Canvas - Motter Love","A17064-1","2","0.00","0.00","235.00","1869","794"
"Canvas - Motter Love","A17064-1","0","0.00","0.00","315.00","1870","794"
"Canvas - Motter Love","A17064-1","0","0.00","0.00","315.00","1871","794"
"Canvas - Motter Love","A17064-1","0","0.00","0.00","315.00","1872","794"
