"Product name","Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Unit price (per)","Product Combinations ID","Product ID","Combinations Impact on unit price","Combinations wholesale price"
"Canvas - Honoring the Giver of Life","A01031-1","0","0.00","0.00","295.00","","1589","725","0.00","0.00"
"Canvas - Honoring the Giver of Life","A01031-1","0","0.00","0.00","395.00","","1590","725","0.00","0.00"
"Canvas - Honoring the Giver of Life","A01031-1","0","0.00","0.00","395.00","","1591","725","0.00","0.00"
"Canvas - Honoring the Giver of Life","A01031-1","0","0.00","0.00","395.00","","1592","725","0.00","0.00"
"Canvas - A Moose and Goose","A08007-1","1","0.00","0.00","190.00","","1777","733","0.00","0.00"
"Canvas - A Moose and Goose","A08007-1","0","0.00","0.00","290.00","","1778","733","0.00","0.00"
"Canvas - A Moose and Goose","A08007-1","0","0.00","0.00","290.00","","1779","733","0.00","0.00"
"Canvas - A Moose and Goose","A08007-1","0","0.00","0.00","290.00","","1780","733","0.00","0.00"
"Canvas - Geese Spirit","A10046-1","0","0.00","0.00","295.00","","1665","736","0.00","84.00"
"Canvas - Geese Spirit","A10046-1","0","0.00","0.00","395.00","","1666","736","0.00","0.00"
"Canvas - Geese Spirit","A10046-1","0","0.00","0.00","395.00","","1667","736","0.00","0.00"
"Canvas - Geese Spirit","A10046-1","0","0.00","0.00","395.00","","1668","736","0.00","0.00"
"Canvas - New Day","A08013-1","1","0.00","0.00","295.00","","1561","737","0.00","0.00"
"Canvas - New Day","A08013-1","0","0.00","0.00","395.00","","1562","737","0.00","0.00"
"Canvas - New Day","A08013-1","0","0.00","0.00","395.00","","1563","737","0.00","0.00"
"Canvas - New Day","A08013-1","0","0.00","0.00","395.00","","1564","737","0.00","0.00"
"Canvas - Patience","A08045-1","1","0.00","0.00","225.00","","1837","738","0.00","0.00"
"Canvas - Patience","A08045-1","0","0.00","0.00","325.00","","1838","738","0.00","0.00"
