"Product name","Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Product Combinations ID","Product ID","Specific Price ID_1","Specific Price ID_2","Specific Price ID_3"
"Canvas - New Day","A08013-1","1","0.00","0.00","295.00","1561","737","","",""
"Canvas - New Day","A08013-1","0","0.00","0.00","395.00","1562","737","","",""
"Canvas - New Day","A08013-1","0","0.00","0.00","395.00","1563","737","","",""
"Canvas - New Day","A08013-1","0","0.00","0.00","395.00","1564","737","","",""
"Canvas - Patience","A08045-1","1","0.00","0.00","225.00","1837","738","","",""
"Canvas - Patience","A08045-1","0","0.00","0.00","325.00","1838","738","","",""
"Canvas - Patience","A08045-1","0","0.00","0.00","325.00","1839","738","","",""
"Canvas - Patience","A08045-1","0","0.00","0.00","325.00","1840","738","","",""
"Bookmarks","BKM","0","1.25","2.90","0.00","12346","7977","285","287","289"
"Bookmarks","BKM","9","1.25","2.90","0.00","12347","7977","285","287","289"
"Bookmarks","BKM","7","1.25","2.90","0.00","12348","7977","285","287","289"
"Bookmarks","BKM","4","1.25","2.90","0.00","12349","7977","285","287","289"
"Bookmarks","BKM","0","1.25","2.90","0.00","12350","7977","285","287","289"
"Bookmarks","BKM","18","1.25","2.90","0.00","12351","7977","285","287","289"
"Bookmarks","BKM","13","1.25","2.90","0.00","12352","7977","285","287","289"
"Bookmarks","BKM","3","1.25","2.90","0.00","12353","7977","285","287","289"
"Bookmarks","BKM","3","1.25","2.90","0.00","12354","7977","285","287","289"
"Bookmarks","BKM","6","1.25","2.90","0.00","12355","7977","285","287","289"
"Bookmarks","BKM","0","1.25","2.90","0.00","12356","7977","285","287","289"
"Bookmarks","BKM","16","1.25","2.90","0.00","13128","7977","285","287","289"
"Colouring Book ""Northern Keepers""","SKU: Colouring027","5","4.00","9.25","0.00","","9382","","",""
"Colouring Cards ""Northern Residents""","SKU: Box285","9","7.25","21.95","0.00","","11536","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","0","3.25","7.95","0.00","10571","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","3","3.25","7.95","0.00","10572","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","19","3.25","7.95","0.00","10573","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","2","3.25","7.95","0.00","10574","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","11","3.25","7.95","0.00","10575","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","6","3.25","7.95","0.00","10576","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","6","3.25","7.95","0.00","10577","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","0","3.25","7.95","0.00","10578","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","6","3.25","7.95","0.00","10579","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","6","3.25","7.95","0.00","10580","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","7","3.25","7.95","0.00","10581","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","0","3.25","7.95","0.00","10582","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","6","3.25","7.95","0.00","13320","14626","","",""
"River Keeper","POD2579magnets","12","2.80","6.95","0.00","","15485","","",""
"Silent Seekers","POD2574magnets","5","2.80","6.95","0.00","","15486","","",""
"Passage","POD2569magnets","12","2.80","6.95","0.00","","15487","","",""
"Northern Keepers","POD2566magnets","7","2.80","6.95","0.00","","15488","","",""
"Going Home","POD2556magnets","5","2.80","6.95","0.00","","15489","","",""
"Gezaluwejit","POD2554magnets","5","2.70","6.95","0.00","","15490","","",""
"Depth","POD2550magnets","6","2.80","6.95","0.00","","15491","","",""
"Giving Thanks","POD2555magnets","19","2.80","6.95","0.00","","15492","","",""
"Honoring the Giver of Life","POD2558magnets","20","2.80","6.95","0.00","","15493","","",""
"Coloring Cards N.C","1-COLORX3","16","0.00","1.80","0.00","","16525","","",""
"The Protector","POD2884magnets","15","2.80","6.95","0.00","","16530","","",""
"Early Evening Flowing into Fall","POD2551magnets","23","2.80","6.95","0.00","","16531","","",""
"Refuge","POD2571magnets","3","2.80","6.95","0.00","","16532","","",""
"In Her World","POD20079magnets","15","2.80","6.95","0.00","","16682","","",""
"Carried Away","POD105832magnets","1","2.80","6.95","0.00","","16683","","",""
