"Product name","Reference code","Combinations Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID","Specific Price ID_1","Specific Price ID_2","Specific Price ID_3"
"Canvas - New Day","A08013-1","","1","0.00","0.00","1561","737","","",""
"Canvas - New Day","A08013-1","","0","0.00","0.00","1562","737","","",""
"Canvas - New Day","A08013-1","","0","0.00","0.00","1563","737","","",""
"Canvas - New Day","A08013-1","","0","0.00","0.00","1564","737","","",""
"Canvas - Patience","A08045-1","","1","0.00","0.00","1837","738","","",""
"Canvas - Patience","A08045-1","","0","0.00","0.00","1838","738","","",""
"Canvas - Patience","A08045-1","","0","0.00","0.00","1839","738","","",""
"Canvas - Patience","A08045-1","","0","0.00","0.00","1840","738","","",""
"Bookmarks","BKM","","0","1.25","2.90","12346","7977","285","287","289"
"Bookmarks","BKM","","9","1.25","2.90","12347","7977","285","287","289"
"Bookmarks","BKM","","7","1.25","2.90","12348","7977","285","287","289"
"Bookmarks","BKM","","4","1.25","2.90","12349","7977","285","287","289"
"Bookmarks","BKM","","0","1.25","2.90","12350","7977","285","287","289"
"Bookmarks","BKM","","18","1.25","2.90","12351","7977","285","287","289"
"Bookmarks","BKM","","13","1.25","2.90","12352","7977","285","287","289"
"Bookmarks","BKM","","2","1.25","2.90","12353","7977","285","287","289"
"Bookmarks","BKM","","3","1.25","2.90","12354","7977","285","287","289"
"Bookmarks","BKM","","6","1.25","2.90","12355","7977","285","287","289"
"Bookmarks","BKM","","0","1.25","2.90","12356","7977","285","287","289"
"Bookmarks","BKM","","16","1.25","2.90","13128","7977","285","287","289"
"Colouring Book ""Northern Keepers""","SKU: Colouring027","","5","4.00","9.25","","9382","","",""
"Colouring Cards ""Northern Residents""","SKU: Box285","","9","7.25","21.95","","11536","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2549GE","0","3.25","7.95","10571","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2550GE","3","3.25","7.95","10572","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2554GE","19","3.25","7.95","10573","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2556GE","2","3.25","7.95","10574","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2583GE","11","3.25","7.95","10575","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2584GE","6","3.25","7.95","10576","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2566GE","6","3.25","7.95","10577","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2569GE","0","3.25","7.95","10578","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2579GE","6","3.25","7.95","10579","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2574GE","6","3.25","7.95","10580","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2576GE","7","3.25","7.95","10581","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2582GE","0","3.25","7.95","10582","14626","","",""
"Gift Enclosures - Mini cards pack of 8","GENC","POD2559GE","6","3.25","7.95","13320","14626","","",""
"River Keeper","POD2579magnets","","12","2.80","6.95","","15485","","",""
"Silent Seekers","POD2574magnets","","5","2.80","6.95","","15486","","",""
"Passage","POD2569magnets","","12","2.80","6.95","","15487","","",""
"Northern Keepers","POD2566magnets","","7","2.80","6.95","","15488","","",""
"Going Home","POD2556magnets","","5","2.80","6.95","","15489","","",""
"Gezaluwejit","POD2554magnets","","5","2.70","6.95","","15490","","",""
"Depth","POD2550magnets","","6","2.80","6.95","","15491","","",""
"Giving Thanks","POD2555magnets","","19","2.80","6.95","","15492","","",""
"Honoring the Giver of Life","POD2558magnets","","20","2.80","6.95","","15493","","",""
"Coloring Cards N.C","1-COLORX3","","16","0.00","1.80","","16525","","",""
"The Protector","POD2884magnets","","15","2.80","6.95","","16530","","",""
"Early Evening Flowing into Fall","POD2551magnets","","23","2.80","6.95","","16531","","",""
"Refuge","POD2571magnets","","2","2.80","6.95","","16532","","",""
"In Her World","POD20079magnets","","15","2.80","6.95","","16682","","",""
"Carried Away","POD105832magnets","","1","2.80","6.95","","16683","","",""
