"Product name","Reference code","Combinations Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations wholesale price","Product Combinations ID","Product ID"
"Kelly Robinson Silk Inspiration Oval Earrings","SKU: 00-07-668","","2","21.50","50.00","0.00","","401"
"Kelly Robinson Silk Inspiration Trapezoid Earrings","SKU: 00-07-671","","2","21.50","50.00","0.00","","404"
"Canvas - New Day","A08013-1","","1","0.00","0.00","0.00","1561","737"
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1562","737"
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1563","737"
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1564","737"
"Canvas - Patience","A08045-1","","1","0.00","0.00","0.00","1837","738"
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1838","738"
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1839","738"
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1840","738"
"Starfish Earrings","3402-64607","","2","16.91","43.00","0.00","","1393"
"Stud Earrings","3487-66233","","3","10.14","28.00","0.00","","1745"
"Stud Earrings","3543-66230","","7","8.33","25.00","0.00","","1775"
"Stud Earrings","3475-1","","4","25.00","42.00","0.00","","7161"
"Birthstone Earrings","DC1701X12","DC1701","7","8.00","18.95","0.00","8967","10248"
"Birthstone Earrings","DC1701X12","DC1702","9","8.00","18.95","0.00","8968","10248"
"Birthstone Earrings","DC1701X12","DC1703","7","8.00","18.95","0.00","8969","10248"
"Birthstone Earrings","DC1701X12","DC1704","11","8.00","18.95","0.00","8970","10248"
"Birthstone Earrings","DC1701X12","DC1705","4","8.00","18.95","0.00","8971","10248"
"Birthstone Earrings","DC1701X12","DC1706","4","8.00","18.95","0.00","8972","10248"
"Birthstone Earrings","DC1701X12","DC1707","15","8.00","18.95","0.00","8973","10248"
"Birthstone Earrings","DC1701X12","DC1708","9","8.00","18.95","0.00","8974","10248"
"Birthstone Earrings","DC1701X12","DC1709","10","8.00","18.95","0.00","8975","10248"
"Birthstone Earrings","DC1701X12","DC1710","8","8.00","18.95","0.00","8976","10248"
"Birthstone Earrings","DC1701X12","DC1711","10","8.00","18.95","0.00","8977","10248"
"Birthstone Earrings","DC1701X12","DC1712","11","8.00","18.95","0.00","8978","10248"
"Sterling Silver Earrings","PMSS20","","5","26.50","60.95","0.00","","10346"
"Sterling Silver Earrings","PMSS21","","4","36.00","74.00","0.00","","10347"
"Sterling Silver Earrings","PMSS22","","4","36.00","83.00","0.00","","10349"
"Sterling Silver Earrings","PMSS23","","4","31.50","72.95","0.00","","10350"
"Sterling Silver Earrings","PMSS24","","4","42.00","96.00","0.00","","10351"
"Sterling Silver Earrings","PMSS25","","5","42.00","96.00","0.00","","10352"
"Stud Earrings","3475-2","","3","15.00","36.00","0.00","","10797"
"Diamond Shaped Earrings","3584","","3","35.00","85.00","0.00","","10839"
"DC2 Earrings","DC2","","26","7.50","16.95","0.00","","12784"
"DC15 Earrings","DC15","","6","4.75","12.95","0.00","","12785"
"DC10 Earrings","DC10","","5","5.00","11.95","0.00","","12786"
"DC15M Earrings","DC15M","","3","6.95","15.95","0.00","","12787"
"DC13 Earrings","DC13","","6","10.50","24.95","0.00","","12931"
"DC11 Earrings","DC11","","2","10.50","24.95","0.00","","12932"
"DC19 Earrings","DC19","","4","9.75","22.95","0.00","","12934"
"DC20 Earrings","DC20","","4","19.00","43.95","0.00","","12935"
"DC23 Earrings","DC23","","5","7.50","17.95","0.00","","13013"
"DC24 Earrings","DC24","","3","7.50","17.95","0.00","","13017"
"DC1421 Earrings","DC1421","","1","7.00","16.95","0.00","","13185"
"BB8 Earrings ""Birch Bark""","BB8","","4","5.50","12.95","0.00","","13187"
"BB6 Earrings ""Birch Bark""","BB6","","3","8.50","19.95","0.00","","13224"
"DCC20 Earrings","DCC20","","1","19.00","43.95","0.00","","13740"
"DC21 Earrings","DC21","","3","19.00","43.95","0.00","","13765"
"BB4 Earrings ""Birch Bark""","BB4","","4","7.50","17.95","0.00","","13766"
"DC5  Earrings","DC5","","2","6.00","15.95","0.00","","13767"
"Corrine Hunt Hummingbird Earrings","SKU: 00-07-532","","2","37.00","85.00","0.00","","13953"
"Sterling Silver Earrings","BBSS1","","3","20.00","46.95","0.00","","14995"
"Round Earrings","BHMEDROUND","","1","35.00","70.00","0.00","11575","15431"
"Round Earrings","BHMEDROUND","eagle","1","35.00","70.00","0.00","11576","15431"
"Round Earrings","BHMEDROUND","","1","35.00","70.00","0.00","11577","15431"
"Round Earrings","BHMEDROUND","","1","35.00","70.00","0.00","11578","15431"
"Round Earrings","BHMEDROUND","","1","35.00","70.00","0.00","11579","15431"
"Triangular Earrings","BHTRIANGLE","","1","35.00","70.00","0.00","11580","15432"
"Triangular Earrings","BHTRIANGLE","","1","35.00","70.00","0.00","11581","15432"
"Triangular Earrings","BHTRIANGLE","","0","35.00","70.00","0.00","11582","15432"
"Triangular Earrings","BHTRIANGLE","","0","35.00","70.00","0.00","11583","15432"
"Triangular Earrings","BHTRIANGLE","","1","35.00","70.00","0.00","11584","15432"
"Triangular Earrings","BHTRIANGLE","","0","35.00","70.00","0.00","11585","15432"
"Steorra Birthstone Collection","PMSS100-P","PMSS101-P","0","18.50","42.95","0.00","11789","15645"
"Steorra Birthstone Collection","PMSS100-P","PMSS102-P","0","18.50","42.95","0.00","11790","15645"
"Steorra Birthstone Collection","PMSS100-P","PMSS103-P","0","18.50","42.95","0.00","11791","15645"
"Steorra Birthstone Collection","PMSS100-P","PMSS104-P","0","18.50","42.95","0.00","11792","15645"
"Steorra Birthstone Collection","PMSS100-P","PMSS105-P","0","18.50","42.95","0.00","11793","15645"
"Steorra Birthstone Collection","PMSS100-P","PMSS106-P","0","18.50","42.95","0.00","11794","15645"
"Steorra Birthstone Collection","PMSS100-P","PMSS107-P","0","18.50","42.95","0.00","11795","15645"
"Steorra Birthstone Collection","PMSS100-P","PMSS108-P","0","18.50","42.95","0.00","11796","15645"
"Steorra Birthstone Collection","PMSS100-P","PMSS109-P","0","18.50","42.95","0.00","11797","15645"
"Steorra Birthstone Collection","PMSS100-P","PMSS110-P","2","18.50","42.95","0.00","11798","15645"
"Steorra Birthstone Collection","PMSS100-P","PMSS111-P","0","18.50","42.95","0.00","11799","15645"
"Steorra Birthstone Collection","PMSS100-P","PMSS112-P","0","18.50","42.95","0.00","11800","15645"
"DC16 Earrings","DC16","","1","10.50","24.95","0.00","","15724"
"DC14 Earrings","DC14","","4","10.50","24.95","0.00","","15725"
"DCC21 Earrings","DCC21","","1","11.00","26.00","0.00","","15727"
"BB7 Earrings ""Birch Bark""","BB7","","4","10.50","23.95","0.00","","15732"
"DC18 Earrings","DC18","","3","9.75","22.95","0.00","","15789"
"Beaded Earrings","BEADEAR","","0","0.00","0.00","20.00","11912","15965"
"Beaded Earrings","BEADEAR","","0","0.00","0.00","20.00","11913","15965"
"Beaded Earrings","BEADEAR","","0","0.00","0.00","20.00","11914","15965"
"Beaded Earrings","BEADEAR","","1","0.00","0.00","20.00","11915","15965"
"Beaded Earrings","BEADEAR","","0","0.00","0.00","20.00","11916","15965"
"Beaded Earrings","BEADEAR","","1","0.00","0.00","25.00","11917","15965"
"Beaded Earrings","BEADEAR","","0","0.00","0.00","25.00","11918","15965"
"Beaded Earrings","BEADEAR","","0","0.00","0.00","30.00","11919","15965"
"Beaded Earrings","BEADEAR","","0","0.00","0.00","40.00","11920","15965"
"Beaded Earrings","BEADEAR","","0","0.00","0.00","40.00","11921","15965"
"Beaded Earrings","BEADEAR","","0","0.00","0.00","40.00","11922","15965"
"Beaded Earrings","BEADEAR","","1","0.00","0.00","40.00","11923","15965"
"Beaded Earrings","BEADEAR","","1","0.00","0.00","40.00","11924","15965"
"Beaded Earrings","BEADEAR","","0","0.00","0.00","40.00","11925","15965"
"Beaded Earrings","BEADEAR","","0","0.00","0.00","40.00","11926","15965"
"Beaded Earrings","BEADEAR","","0","0.00","0.00","50.00","11927","15965"
"Opalite Studs earrings","66230","","0","8.33","25.00","0.00","","16024"
"Sterling Silver Earrings","65654","","2","10.15","26.00","0.00","","16043"
"Sterling Silver Earrings","66029","","2","37.15","95.00","0.00","","16045"
"Sterling Silver Earrings","66384","","2","12.48","32.00","0.00","","16050"
"Sterling Silver Earrings","66706","","2","10.41","26.00","0.00","","16051"
"Sterling Silver Earrings","66707","","2","12.48","32.00","0.00","","16052"
"Sterling Silver Earrings","66711","","2","12.80","30.00","0.00","","16055"
"Sterling Silver Earrings","66909","","2","13.46","34.00","0.00","","16060"
"Sterling Silver Earrings","66705","","2","48.69","115.00","0.00","","16064"
"Butterfly Stud Earrings","66713","","2","13.46","34.00","0.00","","16100"
"Beaded Earrings","RED4","","3","9.50","22.00","0.00","","16231"
"Star Studs","65651","","3","5.40","14.00","0.00","","16707"
"Sterling Silver Earrings","66708","","2","12.48","32.00","0.00","","16724"
"Feathered Earrings","MFE2","","4","2.50","5.95","0.00","","16924"
"Feathered Earrings","MFE3","","3","2.50","5.95","0.00","","16925"
"Feathered Earrings","MFE4","","4","2.50","5.95","0.00","","16926"
"Feathered Earrings","MFE5","","2","2.50","5.95","0.00","","16927"
"Feathered Earrings","MFE6","","3","2.50","5.95","0.00","","16928"
"Mother of Pearl Earrings","ME104","","3","4.25","9.95","0.00","","16937"
"DC1430 Earrings","DC1430","","4","6.25","14.95","0.00","","16949"
"Beaded Earrings","BOMARTINE","","5","37.50","75.00","0.00","","16986"
"Beaded Earrings","66970","","2","37.15","95.00","0.00","","17162"
"Beaded Earrings","ME805","","3","5.00","11.95","0.00","","17284"
