"Product name","Reference code","Combinations Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations wholesale price","Product Combinations ID","Product ID","Specific Price ID_1"
"Corrine Hunt Silk Inspiration Bangle","SKU: 00-07-730x3","","0","23.50","54.00","0.00","1038","373",""
"Corrine Hunt Silk Inspiration Bangle","SKU: 00-07-730x3","","1","23.50","54.00","0.00","1039","373",""
"Corrine Hunt Silk Inspiration Bangle","SKU: 00-07-730x3","07-732","1","23.50","54.00","0.00","1040","373",""
"Corrine Hunt Silk Inspiration Bangle","SKU: 00-07-733x3","","2","23.50","54.00","0.00","1035","374","438"
"Corrine Hunt Silk Inspiration Bangle","SKU: 00-07-733x3","","0","23.50","54.00","0.00","1036","374",""
"Corrine Hunt Silk Inspiration Bangle","SKU: 00-07-733x3","","1","23.50","54.00","0.00","1037","374",""
"Kelly Robinson Silk Inspiration Bangle","SKU: 00-07-739x3","07-739","0","23.50","54.00","0.00","1028","395",""
"Kelly Robinson Silk Inspiration Bangle","SKU: 00-07-739x3","","0","23.50","54.00","0.00","1029","395",""
"Kelly Robinson Silk Inspiration Bangle","SKU: 00-07-739x3","07-741","2","23.50","54.00","0.00","1030","395",""
"Kelly Robinson Hummingbird Bracelet","SKU: 00-07-571x2","07-571","1","0.00","110.95","48.00","7523","448",""
"Kelly Robinson Hummingbird Bracelet","SKU: 00-07-571x2","07-573","1","0.00","110.95","45.00","7524","448",""
"Canvas - New Day","A08013-1","","1","0.00","0.00","0.00","1561","737",""
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1562","737",""
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1563","737",""
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1564","737",""
"Canvas - Patience","A08045-1","","1","0.00","0.00","0.00","1837","738",""
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1838","738",""
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1839","738",""
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1840","738",""
"Bear Bracelet","3822","","2","125.00","295.00","0.00","","9494",""
"Bear Paw Bracelet","3850","","2","76.00","175.00","0.00","","9509",""
"Bear Paw Bracelet","3922","","4","16.50","175.00","0.00","","9685",""
"Bear Paw Bracelet","3923","","2","16.50","175.00","0.00","","9686",""
"Birthstone Coil Bracelet","WR","WR1","0","5.75","13.95","0.00","12359","16233",""
"Birthstone Coil Bracelet","WR","WR2","0","5.75","13.95","0.00","12360","16233",""
"Birthstone Coil Bracelet","WR","WR3","0","5.75","13.95","0.00","12361","16233",""
"Birthstone Coil Bracelet","WR","WR4","0","5.75","13.95","0.00","12362","16233",""
"Birthstone Coil Bracelet","WR","WR5","0","5.75","13.95","0.00","12363","16233",""
"Birthstone Coil Bracelet","WR","WR6","0","5.75","13.95","0.00","12364","16233",""
"Birthstone Coil Bracelet","WR","WR7","0","5.75","13.95","0.00","12365","16233",""
"Birthstone Coil Bracelet","WR","WR8","0","5.75","13.95","0.00","12366","16233",""
"Birthstone Coil Bracelet","WR","WR9","2","5.75","13.95","0.00","12367","16233",""
"Birthstone Coil Bracelet","WR","WR10","0","5.75","13.95","0.00","12368","16233",""
"Birthstone Coil Bracelet","WR","WR11","0","5.75","13.95","0.00","12369","16233",""
"Birthstone Coil Bracelet","WR","WR12","0","5.75","13.95","0.00","12370","16233",""
"Hematite Bracelet","BR-HEMATITE","","10","5.21","12.00","0.00","","16537",""
"Magnetic Hematite Bracelet","BMH6","","6","5.21","12.00","0.00","","16551",""
"Sterling Silver Bracelet","22285","22285-7","2","0.00","0.00","20.56","12992","16721",""
"Sterling Silver Bracelet","22285","8\\\""","1","0.00","0.00","22.69","12993","16721",""
"Sterling Silver Bracelet","22285","9\\\""","0","0.00","0.00","25.00","12994","16721",""
"Beaded Bracelet","WR212","","3","5.50","12.95","0.00","","16968",""
"Beaded Bracelet","WR213","","3","5.50","12.95","0.00","","16969",""
"Turquoise Bracelet","BR-01B","","3","0.00","60.00","0.00","","17134",""
"Sterling Silver Bracelet","23707","","2","47.34","120.00","0.00","","17201",""
"Beaded Bracelet","WR805","","3","5.50","12.95","0.00","","17286",""
"Beaded Bracelet","WR809","","2","5.50","12.95","0.00","","17287",""
"Beaded Bracelet - Soul Sisters","FRBR6","","2","8.25","18.95","0.00","","17288",""
"Beaded Bracelet - Dearest Mama","FRBR3","","2","8.25","18.95","0.00","","17289",""
"Beaded Bracelet","BR8","","8","3.30","20.00","0.00","","17337",""
"Beaded Bracelet","BR10","","8","3.30","22.00","0.00","","17338",""
