"Product name","Reference code","Combinations Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations wholesale price","Product Combinations ID","Product ID","Specific Price ID_1","Specific Price ID_2"
"Corrine Hunt Silk Inspiration Oval Pendant","SKU: 00-07-653","","1","20.00","46.00","0.00","","389","",""
"Corrine Hunt Silk Inspiration Oval Pendant","SKU: 00-07-657","","1","20.00","46.00","0.00","","391","",""
"Corrine Hunt Silk Inspiration Round Pendant","SKU: 00-07-654","","1","20.00","46.00","0.00","","392","",""
"Corrine Hunt Silk Inspiration Round Pendant","SKU: 00-07-652","","1","20.00","46.00","0.00","","393","",""
"Corrine Hunt Silk Inspiration Round Pendant","SKU: 00-07-658","","1","20.00","46.00","0.00","","394","",""
"Kelly Robinson Silk Inspiration Oval Pendant","SKU: 00-07-655","","1","20.00","46.00","0.00","","407","",""
"Kelly Robinson Silk Inspiration Oval Pendant","SKU: 00-07-631","","1","20.00","46.00","0.00","","408","",""
"Kelly Robinson Silk Inspiration Round Pendant","SKU: 00-07-632","","1","20.00","46.00","0.00","","409","",""
"Kelly Robinson Silk Inspiration Round Pendant","SKU: 00-07-656","","2","16.50","46.00","0.00","","410","",""
"Andrew Williams Octopus Pendant","SKU: 00-07-563x2","","1","39.00","90.00","0.00","","420","",""
"Andrew Williams Raven Pendant","SKU: 00-07-560x2","","1","39.00","90.00","0.00","","422","",""
"Corrine Hunt Killer Whale Pendant","SKU: 00-07-503","","1","35.50","82.00","0.00","","425","",""
"Corrine Hunt Wolf Pendant","SKU: 00-07-504","","2","35.50","82.00","0.00","","428","",""
"Corrine Hunt Eagle Pendant","SKU: 00-07-508","","1","39.00","90.00","0.00","","431","",""
"Corrine Hunt Killer Whale Pendant","SKU: 00-07-501","00-07-510","0","27.00","0.00","35.50","1015","435","",""
"Corrine Hunt Killer Whale Pendant","SKU: 00-07-501","00-07-501","1","27.00","0.00","37.50","1016","435","",""
"Corrine Hunt Eagle Pendant","SKU: 00-07-500","","1","35.50","82.00","0.00","","436","",""
"Corrine Hunt Wolf Pendant","SKU: 00-07-509","","1","39.00","0.00","39.00","11700","439","",""
"Corrine Hunt Wolf Pendant","SKU: 00-07-509","","0","39.00","0.00","32.00","11701","439","",""
"Corrine Hunt Eagle Pendant","SKU: 00-07-594","","0","28.00","82.00","0.00","","440","",""
"Corrine Hunt Eagle Pendant","SKU: 00-07-507","","1","28.00","0.00","35.50","6556","442","",""
"Corrine Hunt Eagle Pendant","SKU: 00-07-507","","0","28.00","0.00","31.50","6557","442","",""
"Corrine Hunt Eagle Pendant","SKU: 00-07-505","","1","35.50","82.00","0.00","","443","",""
"Corrine Hunt Killer Whale Pendant","SKU: 00-07-595","","0","32.00","76.00","0.00","","444","",""
"Corrine Hunt Eagle Pendant","SKU: 00-07-506","","0","35.50","82.00","0.00","","445","",""
"Canvas - New Day","A08013-1","","1","0.00","0.00","0.00","1561","737","",""
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1562","737","",""
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1563","737","",""
"Canvas - New Day","A08013-1","","0","0.00","0.00","0.00","1564","737","",""
"Canvas - Patience","A08045-1","","1","0.00","0.00","0.00","1837","738","",""
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1838","738","",""
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1839","738","",""
"Canvas - Patience","A08045-1","","0","0.00","0.00","0.00","1840","738","",""
"Bear Pendant","3020","","0","260.00","600.00","0.00","","1147","",""
"Bear Pendant","3099","","1","240.00","560.00","0.00","","1148","",""
