"Product name","Reference code","Combinations Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations wholesale price","Product Combinations ID","Product ID","Specific Price ID_1","Specific Price ID_2","Specific Price ID_3","Specific Price ID_4"
"Card - Teachings","A01036-7","","28","2.5","5.5","0","","30","","","",""
"Card - Strength Within","A01035-7","","353","2.5","5.5","0","","34","","","",""
"Card - Reaching Out","A01034-POD2570","","5","2.75","6.35","0","","35","","","",""
"Card - Trust","A01037-7","","124","2.5","5.5","0","","40","","","",""
"Card - Whisper","A08011-7","","98","2.5","5.5","0","","44","","","",""
"Card - A Moose and Goose","A08007-POD2548","","13","2.75","6.35","0","","47","","","",""
"Card - Sky Sisters","A10012-POD2565","","15","2.75","6.35","0","","51","","","",""
"Card - Merging Earth and Sky","A10004-7","","209","2.5","5.5","0","","54","","","",""
"Card - New Day","A08013-POD2584","","9","2.75","6.35","0","","61","","","",""
"Card - Patience","A08045-20084","","10","2.75","6.35","0","","64","","","",""
"Card - Birth of Eagle Shadow","A01029-POD2882","","12","2.75","6.35","0","","67","","","",""
"Card - Unity","A08019-POD2886","","14","2.75","6.35","0","","70","","","",""
"Card - River Keeper","A09006-POD2579","","15","2.75","6.35","0","","73","","","",""
"Card - Rebirth","A04015-20085","","23","2.75","6.35","0","","76","","","",""
"Card - Passage","W13025-POD2569","","7","2.75","6.35","0","","85","","","",""
"Card - Winter Wolves","W12008-POD2581","","11","2.75","6.35","0","","95","","","",""
"Card - Earth Keeper","W12005-POD2552","","10","2.75","6.35","0","","104","","","",""
"Card - Going Home","W12016-POD2556","","10","2.75","6.35","0","","107","","","",""
"Card - Early Evening Flowing Into Fall","W12018-POD2551","","9","2.75","6.35","0","","113","","","",""
"Bill Helin Eagle Oven Mitt","SKU: 53-53-672","","2","8","19.95","0","","135","","","",""
"Bill Helin Hummingbird Pot Holder","SKU: 53-53-552","","2","5.75","15.95","0","","152","","","",""
"Bill Helin Raven Oven Mitt","SKU: 53-53-007","","2","8","19.95","0","","171","","","",""
"Andrew Williams Hummingbird Oven Mitt","SKU: 52-52-792","","2","8","19.95","0","","179","","","",""
"Andrew Williams Hummingbird Pot Holder","SKU: 52-52-791","","2","6.5","15.95","0","","181","","","",""
"Corrine Hunt Sea to Sky Cheese Knife","SKU: 00-04-531","","2","22","56","0","","240","","","",""
"Card - The Protector","A00048-7-POD2884","","14","2.75","6.35","0","","251","","","",""
"Card - Sky Girl","A01003-POD2575","","18","2.75","6.35","0","","257","","","",""
"Jim Charlie Raven Oven Mitt","SKU: 52-52-627","","2","8","19.95","0","","259","","","",""
"Card - Passing Through","A04060-20083","","8","2.75","6.35","0","","262","","","",""
"Card - Tranquility","A09054-20087","","12","2.75","6.35","0","","268","","","",""
"Card - The Return","A10044-POD2572","","19","2.75","6.35","0","","285","","","",""
"Card - Otherness","A13056-POD2568","","7","2.75","6.35","0","","290","","","",""
"Card - Origins","A13057-POD2567","","7","2.75","6.35","0","","294","","","",""
"Card - Northern Keepers","A16051-POD2566","","3","2.75","6.35","0","","299","","","",""
"Card - Zenith","A16052-POD2586","","20","2.75","6.35","0","","304","","","",""
"Card - Silent Seekers","A16058-POD2574","","8","2.75","6.35","0","","309","","","",""
"Card - Wisdom Keepers","A16059-POD2582","","0","2.75","6.35","0","","313","","","",""
"Card - Messenger","A95053-20081","","16","2.75","6.35","0","","315","","","",""
"Card - Gezaluwejit","A14051-POD2554","","11","2.75","6.35","0","","318","","","",""
"Card - In Her World","W13026-7","","7","2.5","5.5","0","","321","","","",""
"Card - Inner Memories","W13047-POD2560","","11","2.75","6.35","0","","324","","","",""
"Card - Ice Dream","A12050-POD2559","","7","2.75","6.35","0","","332","","","",""
