"Product name","Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"Small Print - Honoring the Giver of Life","A01031-6","19","10.87","25.00","","609"
"Small Print - Moon Wisdom","A01032-6","73","10.87","25.00","","610"
"Small Print - New Fire","A01033-6","87","10.87","25.00","","611"
"Small Print - Teachings","A01036-6","94","10.87","25.00","","612"
"Small Print - Trust","A01037-6","2","10.87","25.00","","615"
"Small Print - Birth of an Eagle Shadow","A01029-6","4","10.87","25.00","","623"
"Small Print - River Keeper","A09006-6","38","10.87","25.00","","625"
"Small Print - Nostalgia","A04039-6","13","10.87","25.00","","627"
"Small Print - Journey to the Spirit World","A07020-6","6","10.87","25.00","","628"
"Small Print - Breath of Life","W12024-6","71","10.87","25.00","","630"
"Small Print - Synchronicity","W12017-6","66","10.87","25.00","","631"
"Small Print - Winter Wolves","W12008-6","24","10.87","25.00","","632"
"Small Print - Dialogue","W12001-6","9","10.87","25.00","","633"
"Small Print - Gate of Silk","W12014-6","6","10.87","25.00","","634"
"Small Print - Earth Keeper","W12005-6","42","10.87","25.00","","635"
"Small Print - Going Home","W12016-6","9","10.87","25.00","","636"
"Small Print - Early Evening Flowing Into Fall","W12018-6","11","10.87","25.00","","638"
"Small Print - The Protector","A00048-6","3","10.87","25.00","","640"
"Small Print - Sky Girl","A01003-6","7","10.87","25.00","","641"
"Small print - Tranquility","A09054-6","5","10.87","25.00","","643"
"Small Print - Abundance","A16055-6","12","10.87","25.00","","644"
"Small Print - Lapinx","A13041-6","14","10.87","25.00","","645"
"Small Print - Returning","A10044-6","4","10.87","25.00","","646"
"Small print - Otherness","A13056-6","12","10.87","25.00","","647"
"Small Print - Origins","A13057-6","10","10.87","25.00","","648"
"Small Print - Silent Seekers","A16058-6","9","10.87","25.00","","651"
"Small Print - Messenger","A95053-6","3","10.87","25.00","","653"
"Small Print - In Her World","W13026-6","15","10.87","25.00","","655"
"Small Print - Playing With Shadows","W13027-6","15","10.87","25.00","","659"
"Small Print - Roots Of Another World","A13053-6","8","10.87","25.00","","660"
"Small Print - Harmony","A01038-6","50","10.87","25.00","","661"
"Small Print - Water and Spirit Buffalo","W13023-6","11","10.87","25.00","","664"
"Small Print - Horizon","W17062-6","11","10.87","25.00","","786"
"Small Print - All my Relations","A20067-6","4","10.87","25.00","","4081"
"Small Print - Footprint","A19054-6","12","10.87","25.00","","4088"
"Small Print - Humility","A18062-6","4","10.87","25.00","","4127"
"Small Print - Seed of Life","A18061-6","4","10.87","25.00","","4170"
"Small Print - Wikwemikong","A08021-6","2","10.87","25.00","","4173"
