"Product name","Reference code","Combinations Reference code","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"Mittens in Natural Seal Skin","ML05C","","0","112.00","239.00","7672","4073"
"Mittens in Natural Seal Skin","ML05C","","1","112.00","239.00","7673","4073"
"Mittens in Natural Seal Skin","ML05C","","1","112.00","239.00","7674","4073"
"Mittens in Natural Seal Skin","ML05C","","1","112.00","239.00","7675","4073"
"Mittens in Natural Seal Skin","ML05C","","0","112.00","239.00","7676","4073"
"Mittens in Natural Seal Skin","ML05C","","0","112.00","239.00","7677","4073"
"Mittens in Natural Seal Skin","MVL-05","","1","80.00","172.00","7684","4075"
"Mittens in Natural Seal Skin","MVL-05","","1","80.00","172.00","7685","4075"
"Mittens in Natural Seal Skin","MVL-05","","2","80.00","172.00","7686","4075"
"Mittens in Natural Seal Skin","MVL-05","","1","80.00","172.00","7687","4075"
"Mittens in Natural Seal Skin","MVL-05","","0","80.00","172.00","7688","4075"
"Mittens in Natural Seal Skin","MVL-05","","0","80.00","172.00","7689","4075"
"Long Leather Mittens with Natural Coyote","MC005","","1","210.00","450.00","10885","7259"
"Long Leather Mittens with Natural Coyote","MC005","","0","210.00","450.00","10886","7259"
"Long Leather Mittens with Natural Coyote","MC005","","0","210.00","450.00","10887","7259"
"Long Leather Mittens with Natural Coyote","MC005","","1","210.00","450.00","10888","7259"
"Gloves with Black Seal Skin","GFL-01M","","0","145.00","310.00","8174","7271"
"Gloves with Black Seal Skin","GFL-01M","","1","145.00","310.00","8175","7271"
"Gloves with Black Seal Skin","GFL-01M","","1","145.00","310.00","8176","7271"
"Gloves with Black Seal Skin","GFL-01M","","1","145.00","310.00","8177","7271"
"Gloves with Black Seal Skin","GFL-01M","","1","145.00","310.00","8178","7271"
"Gloves in Natural Seal Skin","GFL-05C","","0","117.00","250.00","8192","7632"
"Gloves in Natural Seal Skin","GFL-05C","","1","117.00","250.00","8193","7632"
"Gloves in Natural Seal Skin","GFL-05C","","2","117.00","250.00","8194","7632"
"Gloves in Natural Seal Skin","GFL-05C","","0","117.00","250.00","8195","7632"
"Bastien - Belts","25","","13","9.00","21.00","","13257"
"Moosehide Mitts","ELITE-260GEPE","","2","83.25","155.00","10949","15165"
"Moosehide Mitts","ELITE-260GEPE","","2","83.25","155.00","10950","15165"
"Moosehide Mitts","ELITE-260GEPE","","0","83.25","155.00","10951","15165"
"Moosehide Mitts","ELITE-260GEPE","","1","83.25","155.00","10952","15165"
"Moosehide Mitts","ELITE-260GEPE","","0","83.25","155.00","10953","15165"
"White Leather Mittens","K-310WH","","6","84.00","194.00","","16636"
