"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"Ladies Suede Slippers","6080-0408-41BU-600BU","","Pantoufles Suède Dames : Pointure - 5","1","46.90","108.00","534","537"
"Ladies Suede Slippers","6080-0408-41BU-600BU","","Pantoufles Suède Dames : Pointure - 6","1","46.90","108.00","535","537"
"Ladies Suede Slippers","6080-0408-41BU-600BU","","Pantoufles Suède Dames : Pointure - 7","0","46.90","108.00","536","537"
"Ladies Suede Slippers","6080-0408-41BU-600BU","","Pantoufles Suède Dames : Pointure - 8","0","46.90","108.00","537","537"
"Ladies Suede Slippers","6080-0408-41BU-600BU","","Pantoufles Suède Dames : Pointure - 9","0","46.90","108.00","538","537"
"Ladies Suede Slippers","6080-0408-41BU-600BU","","Pantoufles Suède Dames : Pointure - 10","0","46.90","108.00","539","537"
"Ladies Suede Slippers","6080-0408-41BU-600BU","","Pantoufles Suède Dames : Pointure - 11","0","46.90","108.00","540","537"
"Ladies Suede Slippers","6080-0408-41BU-600BU","","Pantoufles Suède Dames : Pointure - 12","0","46.90","108.00","541","537"
"Ladies Suede Slippers","6080-0408-41BU-600BU","","Pantoufles Suède Dames : Pointure - 4","0","46.90","108.00","542","537"
"Ladies Suede Slippers","6080-0408-41PU-600PU","","Pantoufles Suède Dames : Pointure - 10","0","46.90","108.00","584","542"
"Ladies Suede Slippers","6080-0408-41PU-600PU","","Pantoufles Suède Dames : Pointure - 4","0","46.90","108.00","7082","542"
"Ladies Suede Slippers","6080-0408-41PU-600PU","","Pantoufles Suède Dames : Pointure - 5","0","46.90","108.00","7083","542"
"Ladies Suede Slippers","6080-0408-41PU-600PU","","Pantoufles Suède Dames : Pointure - 6","1","46.90","108.00","7084","542"
"Ladies Suede Slippers","6080-0408-41PU-600PU","","Pantoufles Suède Dames : Pointure - 7","0","46.90","108.00","7085","542"
"Ladies Suede Slippers","6080-0408-41PU-600PU","","Pantoufles Suède Dames : Pointure - 8","0","46.90","108.00","7086","542"
"Ladies Suede Slippers","6080-0408-41PU-600PU","","Pantoufles Suède Dames : Pointure - 9","0","46.90","108.00","7087","542"
"Ladies Suede Slippers","6080-0408-41PU-600PU","","Pantoufles Suède Dames : Pointure - 11","0","46.90","108.00","7088","542"
"Ladies Suede Slippers","6080-0408-41PU-600PU","","Pantoufles Suède Dames : Pointure - 12","0","46.90","108.00","7089","542"
"Ladies Suede Slippers","6080-0408-41RB-600RB","","Pantoufles Suède Dames : Pointure - 5","0","46.90","108.00","597","544"
"Ladies Suede Slippers","6080-0408-41RB-600RB","","Pantoufles Suède Dames : Pointure - 6","0","46.90","108.00","598","544"
"Ladies Suede Slippers","6080-0408-41RB-600RB","","Pantoufles Suède Dames : Pointure - 7","0","46.90","108.00","599","544"
"Ladies Suede Slippers","6080-0408-41RB-600RB","","Pantoufles Suède Dames : Pointure - 8","0","46.90","108.00","600","544"
"Ladies Suede Slippers","6080-0408-41RB-600RB","","Pantoufles Suède Dames : Pointure - 9","0","46.90","108.00","601","544"
"Ladies Suede Slippers","6080-0408-41RB-600RB","","Pantoufles Suède Dames : Pointure - 10","0","46.90","108.00","602","544"
"Ladies Suede Slippers","6080-0408-41RB-600RB","","Pantoufles Suède Dames : Pointure - 11","0","46.90","108.00","603","544"
"Ladies Suede Slippers","6080-0408-41RB-600RB","","Pantoufles Suède Dames : Pointure - 12","0","46.90","108.00","604","544"
"Ladies Suede Slippers","6080-0408-41RB-600RB","","Pantoufles Suède Dames : Pointure - 4","0","46.90","108.00","605","544"
"Ladies Suede Slippers","6080-0408-41BL-653","","Pantoufles Suède Dames : Pointure - 10","0","46.90","108.00","692","554"
"Ladies Suede Slippers","6080-0408-41BL-653","","Pantoufles Suède Dames : Pointure - 4","1","46.90","108.00","7098","554"
"Ladies Suede Slippers","6080-0408-41BL-653","","Pantoufles Suède Dames : Pointure - 5","0","46.90","108.00","7099","554"
"Ladies Suede Slippers","6080-0408-41BL-653","","Pantoufles Suède Dames : Pointure - 6","0","46.90","108.00","7100","554"
"Ladies Suede Slippers","6080-0408-41BL-653","","Pantoufles Suède Dames : Pointure - 7","0","46.90","108.00","7101","554"
"Ladies Suede Slippers","6080-0408-41BL-653","","Pantoufles Suède Dames : Pointure - 8","0","46.90","108.00","7102","554"
"Ladies Suede Slippers","6080-0408-41BL-653","","Pantoufles Suède Dames : Pointure - 9","0","46.90","108.00","7103","554"
"Ladies Suede Slippers","6080-0408-41BL-653","","Pantoufles Suède Dames : Pointure - 11","1","46.90","108.00","7104","554"
"Ladies Suede Slippers","6080-0408-41BL-653","","Pantoufles Suède Dames : Pointure - 12","1","46.90","108.00","7105","554"
"Ladies Suede Slippers","6080-0408-41NB-658","","Pantoufles Suède Dames : Pointure - 5","0","46.90","108.00","696","555"
"Ladies Suede Slippers","6080-0408-41NB-658","","Pantoufles Suède Dames : Pointure - 6","0","46.90","108.00","697","555"
"Ladies Suede Slippers","6080-0408-41NB-658","","Pantoufles Suède Dames : Pointure - 7","0","46.90","108.00","698","555"
"Ladies Suede Slippers","6080-0408-41NB-658","","Pantoufles Suède Dames : Pointure - 8","0","46.90","108.00","699","555"
"Ladies Suede Slippers","6080-0408-41NB-658","","Pantoufles Suède Dames : Pointure - 9","1","46.90","108.00","700","555"
"Ladies Suede Slippers","6080-0408-41NB-658","","Pantoufles Suède Dames : Pointure - 10","1","46.90","108.00","701","555"
"Ladies Suede Slippers","6080-0408-41NB-658","","Pantoufles Suède Dames : Pointure - 11","0","46.90","108.00","702","555"
"Ladies Suede Slippers","6080-0408-41NB-658","","Pantoufles Suède Dames : Pointure - 12","1","46.90","108.00","703","555"
"Ladies Suede Slippers","6080-0408-41NB-658","","Pantoufles Suède Dames : Pointure - 4","0","46.90","108.00","704","555"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 5","0","46.90","108.00","723","558"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 6","0","46.90","108.00","724","558"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 7","0","46.90","108.00","725","558"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 8","0","46.90","108.00","726","558"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 9","0","46.90","108.00","727","558"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 10","0","46.90","108.00","728","558"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 11","1","46.90","108.00","729","558"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 12","1","46.90","108.00","730","558"
"Ladies Suede Slippers","6080-0408-41SBL-661","","Pantoufles Suède Dames : Pointure - 4","0","46.90","108.00","731","558"
"Ladies Suede Slippers","6080-0408-41FG-669","","Pantoufles Suède Dames : Pointure - 6","0","46.90","108.00","751","561"
"Ladies Suede Slippers","6080-0408-41FG-669","","Pantoufles Suède Dames : Pointure - 11","0","46.90","108.00","756","561"
"Ladies Suede Slippers","6080-0408-41FG-669","","Pantoufles Suède Dames : Pointure - 4","0","46.90","108.00","7114","561"
