"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Product Combinations ID","Product ID"
"Moccasins Bear Box","SKU: 54-54-116","116","Mocassins Bear Box : Pointure - 18 mois","0","40.00","92.00","0.00","1087","485"
"Moccasins Bear Box","SKU: 54-54-116","117","Mocassins Bear Box : Pointure - 24 mois","0","40.00","92.00","0.00","1088","485"
"Moccasins Bear Box","SKU: 54-54-116","118","Mocassins Bear Box : Pointure - 36 mois","0","40.00","92.00","0.00","1089","485"
"Suede Moccasins for Children","142","","Mocassins en Suède pour Enfants : Pointure - 7","2","25.75","59.95","0.00","2546","1023"
"Suede Moccasins for Children","142","","Mocassins en Suède pour Enfants : Pointure - 8","2","25.75","59.95","0.00","2547","1023"
"Suede Moccasins for Children","142","","Mocassins en Suède pour Enfants : Pointure - 9","2","25.75","59.95","0.00","2548","1023"
"Suede Moccasins for Children","142","","Mocassins en Suède pour Enfants : Pointure - 10","2","25.75","59.95","0.00","2549","1023"
"Mousecassins for Babies","258","","Mocassins Souris pour Bébés : Pointure - 2","2","18.25","42.00","0.00","2618","1029"
"Mousecassins for Babies","258","","Mocassins Souris pour Bébés : Pointure - 3","4","18.25","42.00","0.00","2619","1029"
"Mousecassins for Babies","258","","Mocassins Souris pour Bébés : Pointure - 4","1","18.25","42.00","0.00","2620","1029"
"Mousecassins for Babies","258","","Mocassins Souris pour Bébés : Pointure - 5","3","18.25","42.00","0.00","2621","1029"
"Mousecassins for Babies","258","","Mocassins Souris pour Bébés : Pointure - 6","5","18.25","42.00","0.00","2622","1029"
"Mousecassins for Children","258","","Mocassins Souris pour Enfants : Pointure - 7","1","19.00","44.50","0.00","2628","1030"
"Mousecassins for Children","258","","Mocassins Souris pour Enfants : Pointure - 8","4","19.00","44.50","0.00","2629","1030"
"Mousecassins for Children","258","","Mocassins Souris pour Enfants : Pointure - 9","2","19.00","44.50","0.00","2630","1030"
"Mousecassins for Children","258","","Mocassins Souris pour Enfants : Pointure - 10","3","19.00","44.50","0.00","2631","1030"
"Suede Moccasins for Junior","402","","Mocassins en Suède pour Juniors : Pointure - 1","2","27.00","63.00","0.00","2667","1035"
"Suede Moccasins for Junior","402","","Mocassins en Suède pour Juniors : Pointure - 2","0","27.00","63.00","0.00","2668","1035"
"Suede Moccasins for Junior","402","","Mocassins en Suède pour Juniors : Pointure - 3","2","27.00","63.00","0.00","2669","1035"
