"Product name","Reference code","Combinations Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Combinations Impact on price (pre-tax)","Combinations wholesale price","Combinations Impact on unit price","Product Combinations ID","Product ID"
"Corrine Hunt Silk Inspiration Bangle","SKU: 00-07-730x3","","Corrine Hunt Inspiration de Soie - Bracelet : Taille - P","0","23.50","54.00","0.00","0.00","0.00","1038","373"
"Corrine Hunt Silk Inspiration Bangle","SKU: 00-07-730x3","","Corrine Hunt Inspiration de Soie - Bracelet : Taille - M","1","23.50","54.00","0.00","0.00","0.00","1039","373"
"Corrine Hunt Silk Inspiration Bangle","SKU: 00-07-730x3","07-732","Corrine Hunt Inspiration de Soie - Bracelet : Taille - L","1","23.50","54.00","0.00","0.00","0.00","1040","373"
"Corrine Hunt Silk Inspiration Bangle","SKU: 00-07-733x3","","Corrine Hunt Inspiration de Soie - Bracelet : Taille - P","2","23.50","54.00","0.00","0.00","0.00","1035","374"
"Corrine Hunt Silk Inspiration Bangle","SKU: 00-07-733x3","","Corrine Hunt Inspiration de Soie - Bracelet : Taille - M","0","23.50","54.00","0.00","0.00","0.00","1036","374"
"Corrine Hunt Silk Inspiration Bangle","SKU: 00-07-733x3","","Corrine Hunt Inspiration de Soie - Bracelet : Taille - L","1","23.50","54.00","0.00","0.00","0.00","1037","374"
"Corrine Hunt Silk Inspiration Cuff Bracelet","SKU: 00-07-750x2","","Corrine Hunt Inspiration de Soie Bracelet : Taille - P","1","26.00","60.00","0.00","0.00","0.00","1033","375"
"Corrine Hunt Silk Inspiration Cuff Bracelet","SKU: 00-07-750x2","07-751","Corrine Hunt Inspiration de Soie Bracelet : Taille - M","0","26.00","60.00","0.00","0.00","0.00","1034","375"
"Corrine Hunt Silk Inspiration Cuff Bracelet","SKU: 00-07-752x2","07-752","Corrine Hunt Inspiration de Soie Bracelet : Taille - P","0","26.00","60.00","0.00","0.00","0.00","1031","376"
"Corrine Hunt Silk Inspiration Cuff Bracelet","SKU: 00-07-752x2","07-753","Corrine Hunt Inspiration de Soie Bracelet : Taille - M","0","26.00","60.00","0.00","0.00","0.00","1032","376"
"Kelly Robinson Silk Inspiration Bangle","SKU: 00-07-739x3","07-739","Kelly Robinson Inspiration de Soie Bracelet : Taille - P","0","23.50","54.00","0.00","0.00","0.00","1028","395"
"Kelly Robinson Silk Inspiration Bangle","SKU: 00-07-739x3","","Kelly Robinson Inspiration de Soie Bracelet : Taille - M","0","23.50","54.00","0.00","0.00","0.00","1029","395"
"Kelly Robinson Silk Inspiration Bangle","SKU: 00-07-739x3","07-741","Kelly Robinson Inspiration de Soie Bracelet : Taille - L","2","23.50","54.00","0.00","0.00","0.00","1030","395"
"Kelly Robinson Silk Inspiration Bangle","SKU: 00-07-736x3","07-736","Kelly Robinson Inspiration de Soie Bracelet : Taille - P","0","23.50","54.00","0.00","0.00","0.00","1025","396"
"Kelly Robinson Silk Inspiration Bangle","SKU: 00-07-736x3","07-737","Kelly Robinson Inspiration de Soie Bracelet : Taille - M","0","23.50","54.00","0.00","0.00","0.00","1026","396"
"Kelly Robinson Silk Inspiration Bangle","SKU: 00-07-736x3","07-738","Kelly Robinson Inspiration de Soie Bracelet : Taille - L","1","23.50","54.00","0.00","0.00","0.00","1027","396"
"Kelly Robinson Silk Inspiration Cuff Bracelet","SKU: 00-07-756x2","07-756","Kelly Robinson Inspiration de Soie Bracelet : Taille - P","1","26.00","60.00","0.00","0.00","0.00","1023","397"
"Kelly Robinson Silk Inspiration Cuff Bracelet","SKU: 00-07-756x2","07-757","Kelly Robinson Inspiration de Soie Bracelet : Taille - M","0","26.00","60.00","0.00","0.00","0.00","1024","397"
"Kelly Robinson Silk Inspiration Cuff Bracelet","SKU: 00-07-754x2","07-754","Kelly Robinson Inspiration de Soie Bracelet : Taille - P","0","26.00","60.00","0.00","0.00","0.00","1021","398"
"Kelly Robinson Silk Inspiration Cuff Bracelet","SKU: 00-07-754x2","07-755","Kelly Robinson Inspiration de Soie Bracelet : Taille - M","0","26.00","60.00","0.00","0.00","0.00","1022","398"
"Andrew Williams Octopus Bracelet","SKU: 00-07-562x2","","Andrew Williams Bracelet Pieuvre : Taille - 6.5""","0","45.00","110.95","0.00","0.00","0.00","7525","418"
"Andrew Williams Octopus Bracelet","SKU: 00-07-562x2","","Andrew Williams Bracelet Pieuvre : Taille - 8""","0","45.00","110.95","0.00","0.00","0.00","7526","418"
"Bill Helin Raven Bracelet","00-07-581","","Andrew Williams Bracelet Corbeau","0","48.00","110.95","0.00","0.00","0.00","","423"
"Kelly Robinson Eagle Bracelet","SKU: 00-07-570x2","","Kelly Robinson Bracelet Aigle : Taille - 6.5""","0","48.00","110.95","0.00","0.00","0.00","7830","447"
"Kelly Robinson Eagle Bracelet","SKU: 00-07-570x2","","Kelly Robinson Bracelet Aigle : Taille - 8""","0","48.00","110.95","0.00","0.00","0.00","7831","447"
"Kelly Robinson Hummingbird Bracelet","SKU: 00-07-571x2","07-571","Kelly Robinson Bracelet Colibri : Taille - 6.5""","1","0.00","110.95","0.00","48.00","0.00","7523","448"
"Kelly Robinson Hummingbird Bracelet","SKU: 00-07-571x2","07-573","Kelly Robinson Bracelet Colibri : Taille - 8""","1","0.00","110.95","0.00","45.00","0.00","7524","448"
"Andrew Williams Double Eagle Bracelet","SKU:00-07-564x2","SKU:00-07-561","Andrew William Bracelet Double Aigle : Taille - 6.5""","0","48.00","110.95","0.00","0.00","0.00","7832","4241"
"Andrew Williams Double Eagle Bracelet","SKU:00-07-564x2","SKU:00-07-564","Andrew William Bracelet Double Aigle : Taille - 8""","0","48.00","110.95","0.00","0.00","0.00","7833","4241"
"Turquoise Bracelet","3818","","Bracelet Turquoise","1","270.00","625.00","0.00","0.00","0.00","","9489"
"Turquoise Bracelet","3819","","Bracelet Turquoise","1","250.00","575.00","0.00","0.00","0.00","","9491"
"Turquoise Bracelet","3821","","Bracelet Turquoise","0","115.00","275.00","0.00","0.00","0.00","","9493"
"Bear Bracelet","3822","","Bracelet Ours","2","125.00","295.00","0.00","0.00","0.00","","9494"
"Bear Bracelet","3823","","Bracelet Ours","1","140.00","325.00","0.00","0.00","0.00","","9495"
"Floral Bracelet","3825","","Bracelet Floral","1","100.00","230.00","0.00","0.00","0.00","","9496"
"Floral Bracelet","3826","","Bracelet Floral","1","100.00","230.00","0.00","0.00","0.00","","9497"
"Turquoise Bracelet","3829","","Bracelet Turquoise","0","16.50","395.00","0.00","0.00","0.00","","9498"
"Horse Bracelet","3831","","Bracelet Cheval","1","165.00","380.00","0.00","0.00","0.00","","9499"
"Turquoise Bracelet","3833","","Bracelet Turquoise","1","150.00","345.00","0.00","0.00","0.00","","9500"
"Turquoise Bracelet","3834","","Bracelet Turquoise","0","16.50","350.00","0.00","0.00","0.00","","9501"
"Malachite Bracelet","3836","","Bracelet Malachite","0","16.50","235.00","0.00","0.00","0.00","","9502"
"Turquoise Bracelet","3838","","Bracelet Turquoise","1","125.00","295.00","0.00","0.00","0.00","","9503"
"Turquoise Bracelet","3840","","Bracelet Turquoise","0","16.50","145.00","0.00","0.00","0.00","","9504"
"Turquoise Bracelet","3842","","Bracelet Turquoise","0","16.50","160.00","0.00","0.00","0.00","","9505"
"Turquoise Bracelet","3844","","Bracelet Turquoise","0","65.00","150.00","0.00","0.00","0.00","","9506"
"Turquoise Bracelet","3846","","Bracelet Turquoise","0","16.50","115.00","0.00","0.00","0.00","","9507"
"Turquoise Bracelet","3849","","Bracelet Turquoise","0","16.50","115.00","0.00","0.00","0.00","","9508"
"Bear Paw Bracelet","3850","","Bracelet Pattes d'Ours","2","76.00","175.00","0.00","0.00","0.00","","9509"
"Turquoise Bracelet","3848","","Bracelet Turquoise","0","56.00","130.00","0.00","0.00","0.00","","9510"
"Lapis Lazuli Bracelet","3852","","Bracelet Lapis Lazuli","0","16.50","160.00","0.00","0.00","0.00","","9511"
"Lapis Lazuli Bracelet","3853","","Bracelet Lapis Lazuli","0","16.50","175.00","0.00","0.00","0.00","","9512"
"Onyx Bracelet","3855","","Bracelet Onyx","0","16.50","160.00","0.00","0.00","0.00","","9513"
"Mohave Bracelet","3856","","Bracelet Mohave","0","16.50","190.00","0.00","0.00","0.00","","9514"
"Mohave Bracelet","3857","","Bracelet Mohave","1","255.00","595.00","0.00","0.00","0.00","","9515"
"Larimar Bracelet","3861","","Bracelet Larimar","0","165.00","380.00","0.00","0.00","0.00","","9545"
"Turquoise Bracelet","3863","","Bracelet Turquoise","0","16.50","390.00","0.00","0.00","0.00","","9546"
"Feather Bracelet","3864","","Bracelet Plumes","1","140.00","325.00","0.00","0.00","0.00","","9547"
"Sungod Bracelet","3866","","Bracelet Dieu du Soleil","0","16.50","145.00","0.00","0.00","0.00","","9549"
