"Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"A01030-7","","0","2.50","5.50","","14"
"A01028-POD2555","","0","2.75","6.35","","17"
"A01031","","0","2.50","5.50","","20"
"A01032-7","","0","2.50","5.50","","23"
"A01036-7","","0","2.50","5.50","","30"
"A01035-7","","0","2.50","5.50","","34"
"A01034-POD2570","","0","2.75","6.35","","35"
"A01037-7","","0","2.50","5.50","","40"
"A08011-7","","0","2.50","5.50","","44"
"A08007-POD2548","","0","2.75","6.35","","47"
"A10012-POD2565","","0","2.75","6.35","","51"
"A10004-7","","0","2.50","5.50","","54"
"A10046-7","","0","2.50","5.50","","58"
"A08013-POD2584","","0","2.75","6.35","","61"
"A08045-20084","","0","2.75","6.35","","64"
"A01029-POD2882","","0","2.75","6.35","","67"
"A08019-POD2886","","0","2.75","6.35","","70"
"A09006-POD2579","","0","2.75","6.35","","73"
"A04015-20085","","0","2.75","6.35","","76"
"A04039-7","","0","2.50","5.50","","79"
"W13025-POD2569","","0","2.75","6.35","","85"
"W12024-20076","","0","2.75","6.35","","88"
"W12008-POD2581","","0","2.75","6.35","","95"
"W12014-7","","0","2.50","5.50","","101"
"W12005-POD2552","","0","2.75","6.35","","104"
"W12016-POD2556","","0","2.75","6.35","","107"
"W12018-POD2551","","0","2.75","6.35","","113"
"A00048-7-POD2884","","0","2.75","6.35","","251"
"A01003-POD2575","","0","2.75","6.35","","257"
"A04060-20083","","0","2.75","6.35","","262"
"A09054-20087","","0","2.75","6.35","","268"
"A10044-POD2572","","0","2.75","6.35","","285"
"A13056-POD2568","","0","2.75","6.35","","290"
"A13057-POD2567","","0","2.75","6.35","","294"
"A16051-POD2566","","0","2.75","6.35","","299"
"A16052-POD2586","","0","2.75","6.35","","304"
"A16058-POD2574","","0","2.75","6.35","","309"
"A16059-POD2582","","0","2.75","6.35","","313"
"A95053-20081","","0","2.75","6.35","","315"
"A14051-POD2554","","0","2.75","6.35","","318"
"W13026-7","","0","2.50","5.50","","321"
"W13047-POD2560","","0","2.75","6.35","","324"
"A11052-7","","0","2.50","5.50","","331"
"A12050-POD2559","","0","2.75","6.35","","332"
"W13027-7","","0","2.50","5.50","","335"
"W13053-20086","","0","2.75","6.35","","338"
"A01038-7","","0","2.50","5.50","","341"
"A01040-7","","0","2.50","5.50","","344"
"A13042-POD2549","","0","2.75","6.35","","347"
"W13023-POD2887","","0","2.75","6.35","","350"
"A01030-6","","0","10.87","25.00","","607"
