"Reference code","Product name","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"A16058-UAC1801NC04A","Pablo Pillow ""Silent Seekers""","","21","21.00","59.00","","835"
"W13023-UAC1801NC09A","Pablo Pillow ""Water and Spirit Buffalo""","","1","21.00","59.00","","837"
"A07020-UAC1801NC0AB","Pablo Pillow ""Journey to the Spirit World""","","0","21.00","59.00","","838"
"W12018-UAC1801NC0DB","Pablo Pillow ""Early Evening Flowing into Fall""","","0","21.00","59.00","","868"
"A13041-UAC1801NC0EB","Pablo Pillow ""Lapinx""","","0","21.00","59.00","","869"
"A17065-UAC0301NC0CC","Pablo Pillow ""Forest Temple""","","0","21.00","59.00","","870"
"A17063-UAC1801NC02A","Pablo Pillow ""Depth""","","2","23.00","59.00","","933"
"A01028-UAC1801NC08B","Pablo Pillow ""Giving Thanks""","","0","21.00","59.00","","948"
"A10004-UAC1801NC01C","Pablo Pillow ""Merging Earth and Sky""","","0","21.00","59.00","","3333"
"A14051-UAC1801NC0TA","Pablo Pillow ""Gezaluwejit""","","0","21.00","59.00","","4862"
"A18066-UAC1201NC0UA","Arthur & Bastien Pillow ""Under the Same Sky""","","1","21.00","59.00","","4863"
"A14051-UAC1201NC0TA","Arthur Pillow ""Gezaluwejit""","","2","21.00","59.00","","5183"
"A01031-UAC2001NCOXA","Pablo Pillow ""Honoring the Giver of life ""","","0","21.00","59.00","","7147"
"A20055-UAC2001NCOYA","Pablo Pillow ""Refuge""","","0","21.00","59.00","","7148"
"W12005-UAC2001NCOWA","Pablo Pillow ""Earth Keeper""","","0","21.00","59.00","","7149"
"A18066-UAC2001NCOUA","Pablo Pillow ""Under The Same Sky""","","0","21.00","59.00","","7151"
"A07020-UAC1201NC0AA","Arthur Pillow ""Journey to the Spirit World""","","4","21.00","59.00","","9013"
"A16059-UAC1801NC0IC","Pablo Pillow ""Wisdom Keepers""","","6","21.00","59.00","","11096"
"A16059-UAC6201NC0IA","Arthur Pillow ""Wisdom Keepers""","","0","21.00","59.00","","12436"
"A08007-UAC6101NC1AA","Gustave Pillow ""A Moose and a Goose""","","0","23.00","59.00","","12440"
"A08013-UAC6101NC0FA","Gustave Pillow ""New Day""","","0","23.00","59.00","","13873"
"A10046-UAC6101NC1BA","Gustave Pillow ""Geese Spirit""","","0","23.00","59.00","","13875"
"A17064-UAC6101NC03A","Gustave Pillow ""Motter Love""","","0","23.00","59.00","","14089"
"A08011-UAC6101NC0HA","Gustave Pillow ""Whisper""","","0","23.00","59.00","","14187"
"W17062-UAC6101NC0GA","Gustave Pillow ""Horizon""","","0","23.00","59.00","","14190"
"UAC6101NC1JA","Gustave Pillow ""Carried Away Under The Blue Moon""","","0","23.00","59.00","","14759"
"A16058-UAC6201NC04A","Arthur Pillow ""Silent Seekers""","","3","21.00","59.00","","15181"
"UAC6101NC07A","Gustave Pillow ""Winter Wolves""","","0","23.00","59.00","","15182"
"UAC6101NC01A","Gustave Pillow ""Merging Earth and Sky""","","0","23.00","59.00","","15188"
"UAC6101NC04A","Gustave Pillow ""Silent Seekers""","","0","23.00","59.00","","15189"
"A17065-UAC0301NC0CB","Pablo Pillow ""Forest Temple II""","","0","21.00","59.00","","15207"
"W12018-UAC1201NC0DA","Arthur Pillow ""Early Evening Flowing into Fall""","","0","21.00","59.00","","15216"
"A08013-UAC1801NC0FB","Pablo Pillow ""New Day""","","0","21.00","59.00","","15242"
"W18053-UAC1801NC0JB","Pablo Pillow ""Northern Masters""","","0","21.00","59.00","","15243"
"A16059-UAC1801NC0IB","Pablo Pillow ""Wisdom Keepers""","","0","21.00","59.00","","15251"
"A08011-UAC0301NC0HA","Pablo Pillow ""Whisper""","","0","21.00","59.00","","15254"
"A16051-UAC1801NC05A","Pablo Pillow ""Northern Keepers""","","0","21.00","59.00","","15257"
"A17064-UAC1801NC03F","Pablo Pillow ""Motter Love""","","0","21.00","59.00","","15258"
"UAC6101NC08A","Gustave Pillow ""Giving Thanks""","","0","23.00","59.00","","15446"
"UAC6101NC0DA","Gustave Pillow ""Early Evening Flowing Into Fall""","","0","23.00","59.00","","15447"
"UAC6101NC0JA","Gustave Pillow ""Northern Masters""","","0","23.00","59.00","","15448"
"UAC6101NC0UA","Gustave Pillow ""Under the Same Sky""","","0","23.00","59.00","","15449"
"UAC6101NC0CA","Gustave Pillow ""The Forest Temple""","","0","23.00","59.00","","15450"
"UAC6101NC05A","Gustave Pillow ""Northern Keepers""","","0","23.00","59.00","","15451"
"UAC6101NC0AA","Gustave Pillow ""Journey to the Spirit World""","","0","23.00","59.00","","15452"
"UAC6101NC0WA","Gustave Pillow ""Earth Keeper""","","0","23.00","59.00","","15453"
"UAC6101NC1MA","Gustave Pillow ""Trust""","","0","23.00","59.00","","16601"
