"Product name","Reference code","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product Combinations ID","Product ID"
"Jeanne Dress ""Wisdom Keepers""","A16059-WDR1001NC0IA","Robe Jeanne ""Gardiens de la Sagesse"" : Taille - XP;Robe Jeanne ""Gardiens de la Sagesse"" : Taille - P;Robe Jeanne ""Gardiens de la Sagesse"" : Taille - M;Robe Jeanne ""Gardiens de la Sagesse"" : Taille - L;Robe Jeanne ""Gardiens de la Sagesse"" : Taille - XL","0;0;0;0;1","58.00","149.00","3117;3118;3119;3120;3121","819"
"Kate Dress ""Depth""","A17063-WDR2601NC02A","Robe Kate ""Profondeur"" : Taille - XP;Robe Kate ""Profondeur"" : Taille - P;Robe Kate ""Profondeur"" : Taille - M;Robe Kate ""Profondeur"" : Taille - L;Robe Kate ""Profondeur"" : Taille - XL","0;0;0;0;0","64.50","169.00","1395;1396;1397;1398;1399","825"
"Kate Dress ""M'Otter Love""","A17064-WDR2601NC03D","Robe Kate ""L'Outre Mère"" : Taille - XP;Robe Kate ""L'Outre Mère"" : Taille - P;Robe Kate ""L'Outre Mère"" : Taille - M;Robe Kate ""L'Outre Mère"" : Taille - L;Robe Kate ""L'Outre Mère"" : Taille - XL","1;3;0;0;1","64.50","169.00","1390;1391;1392;1393;1394","826"
"Kate Dress ""Silent Seekers""","A16058-WDR2601NC04A","Robe Kate ""En Quête de Silence"" : Taille - XP;Robe Kate ""En Quête de Silence"" : Taille - P;Robe Kate ""En Quête de Silence"" : Taille - M;Robe Kate ""En Quête de Silence"" : Taille - L;Robe Kate ""En Quête de Silence"" : Taille - XL","3;3;7;0;0","64.50","169.00","1385;1386;1387;1388;1389","827"
"Kate Dress ""Northern Keepers""","A16051-WDR2601NC05A","Robe Kate ""Gardiens du Nord"" : Taille - XP;Robe Kate ""Gardiens du Nord"" : Taille - P;Robe Kate ""Gardiens du Nord"" : Taille - M;Robe Kate ""Gardiens du Nord"" : Taille - L;Robe Kate ""Gardiens du Nord"" : Taille - XL","0;0;0;0;1","64.50","169.00","1380;1381;1382;1383;1384","828"
"Kate Dress ""The River Keeper""","A09006-WDR2601NC06A","Robe Kate ""La Gardienne de l'Eau"" : Taille - XP;Robe Kate ""La Gardienne de l'Eau"" : Taille - P;Robe Kate ""La Gardienne de l'Eau"" : Taille - M;Robe Kate ""La Gardienne de l'Eau"" : Taille - L;Robe Kate ""La Gardienne de l'Eau"" : Taille - XL","0;0;0;0;0","64.50","169.00","1375;1376;1377;1378;1379","829"
"Kate Dress ""Giving Thanks""","A01028-WDR2601NC08A","Robe Kate ""Rendre Grâce"" : Taille - XP;Robe Kate ""Rendre Grâce"" : Taille - P;Robe Kate ""Rendre Grâce"" : Taille - M;Robe Kate ""Rendre Grâce"" : Taille - L;Robe Kate ""Rendre Grâce"" : Taille - XL","0;0;0;0;0","64.50","169.00","3042;3043;3044;3045;3046","830"
"Kate Dress ""Water and Spirit Buffalo""","W13023-WDR2601NC09A","Robe Kate ""Eau et Esprit du Bison"" : Taille - XP;Robe Kate ""Eau et Esprit du Bison"" : Taille - P;Robe Kate ""Eau et Esprit du Bison"" : Taille - M;Robe Kate ""Eau et Esprit du Bison"" : Taille - L;Robe Kate ""Eau et Esprit du Bison"" : Taille - XL","0;0;0;0;1","64.50","169.00","1365;1366;1367;1368;1369","831"
"Kate Dress ""Journey to the Spirit World""","A07020-WDR2601NC0AB","Robe Kate ""Voyage vers le Monde du Songe"" : Taille - XP;Robe Kate ""Voyage vers le Monde du Songe"" : Taille - P;Robe Kate ""Voyage vers le Monde du Songe"" : Taille - M;Robe Kate ""Voyage vers le Monde du Songe"" : Taille - L;Robe Kate ""Voyage vers le Monde du Songe"" : Taille - XL","0;0;0;0;0","64.50","169.00","1360;1361;1362;1363;1364","832"
"Joni Dress ""Lapinx""","A13041-WDR2901NC0EB","Robe Joni ""Lapinx"" : Taille - XP;Robe Joni ""Lapinx"" : Taille - P;Robe Joni ""Lapinx"" : Taille - M;Robe Joni ""Lapinx"" : Taille - L;Robe Joni ""Lapinx"" : Taille - XL","0;0;0;0;0","59.10","139.00","3097;3098;3099;3100;3101","881"
