"Reference code","Product name","Combinations (Attribute - value pair)","Quantity","Pre-tax wholesale price","Pre-tax retail price","Product ID","Product Combinations ID"
"A16059-WBL0301NC0IA","Frida Cardigan ""Wisdom Keepers""","Cardigan Frida ""Gardiens de la Sagesse"" : Taille - XP","4","52.50","129.00","916","2927"
"A16059-WBL0301NC0IA","Frida Cardigan ""Wisdom Keepers""","Cardigan Frida ""Gardiens de la Sagesse"" : Taille - P","4","52.50","129.00","916","2928"
"A16059-WBL0301NC0IA","Frida Cardigan ""Wisdom Keepers""","Cardigan Frida ""Gardiens de la Sagesse"" : Taille - M","0","52.50","129.00","916","2929"
"A16059-WBL0301NC0IA","Frida Cardigan ""Wisdom Keepers""","Cardigan Frida ""Gardiens de la Sagesse"" : Taille - L","0","52.50","129.00","916","2930"
"A16059-WBL0301NC0IA","Frida Cardigan ""Wisdom Keepers""","Cardigan Frida ""Gardiens de la Sagesse"" : Taille - XL","0","52.50","129.00","916","2931"
"A08011-WBL0301NC0HB","Frida Cardigan ""Whisper""","Cardigan Frida ""Murmure"" : Taille - XP","0","52.50","129.00","917","2942"
"A08011-WBL0301NC0HB","Frida Cardigan ""Whisper""","Cardigan Frida ""Murmure"" : Taille - P","0","52.50","129.00","917","2943"
"A08011-WBL0301NC0HB","Frida Cardigan ""Whisper""","Cardigan Frida ""Murmure"" : Taille - M","0","52.50","129.00","917","2944"
"A08011-WBL0301NC0HB","Frida Cardigan ""Whisper""","Cardigan Frida ""Murmure"" : Taille - L","0","52.50","129.00","917","2945"
"A08011-WBL0301NC0HB","Frida Cardigan ""Whisper""","Cardigan Frida ""Murmure"" : Taille - XL","0","52.50","129.00","917","2946"
"A17065-WBL0301NC0CB","Frida Cardigan ""The Forest Temple""","Cardigan Frida ""Temple de la Forêt"" : Taille - XP","0","52.50","129.00","918","2937"
"A17065-WBL0301NC0CB","Frida Cardigan ""The Forest Temple""","Cardigan Frida ""Temple de la Forêt"" : Taille - P","0","52.50","129.00","918","2938"
